Object,Median UV NFD On-Off,Median UV NFD On-Off Unc,SDSS mjd,DESI mjd,Off spectrum 4000A flux,Redshift
114338.55+564817.9,0.254186236850729,0.2771981781916933,57430,59307.35829040001,1.1396766467950927,0.73048996925354
122523.45+580846.3,-0.0248788250647082,0.281433432061882,58135,59309.26965074,1.4834878122171244,0.7320503
095209.81+331752.0,0.0683029872916011,0.303520954139882,56325,59280.39813619,0.8261209289846794,0.73179704
160344.93+450146.4,0.7800883626010898,0.313207965755275,57897,59311.38455027,1.0087546911595149,0.7304642200469971
112934.69+503103.4,1.0001558993576654,0.4093391976307856,57064,59308.27622285,0.7066166576611826,0.7314494252204895
095656.19+021315.1,0.2544738327391482,0.1839788306198034,51908,59198.43399897,1.670913986848431,1.121638
144102.63-013845.8,,,52409,59318.40126099,,1.125569
114302.72+550813.1,,,57430,59307.35829037,,1.1219321489334106
123401.05+623314.7,0.2475955750368634,0.2314968161143574,52373,59311.22038456,1.4576530298347423,1.122894
123731.71+542544.3,,,58172,59307.32351873,,1.718056321144104
131244.36+272802.5,,,53794,59267.50019499,,1.719254
142741.21+332937.3,,,55269,59311.33460277,,1.717
142030.56+513909.1,,,57835,59231.5316127,,1.7167948484420776
165002.32+355533.7,0.4798217586415294,0.4140025825980531,52409,59311.41551938,0.8792222874264186,1.204051
114639.33+565414.5,,,56658,59307.35829043,,1.203
122133.20+330701.3,,,53503,59351.16097771,,1.205404
161501.19+424846.9,0.4699776225231257,0.2694777460042015,57898,59312.44716139,0.8466266331574601,1.2029292583465576
095946.01+024743.5,0.4985170036180161,0.0951463690863425,52235,59198.43399897,3.94347914356471,1.068339
141945.05+512241.4,0.4845813552985971,0.122759569821517,57835,59231.53161272,1.3155476187312825,1.0633749961853027
132550.58+192809.7,0.0805631185009375,0.0572431287480924,54506,59347.19751097,9.41339477426753,1.0671
153722.08+425656.6,0.1082402310946429,0.4336718900277632,57903,59338.37569314,0.4310587674238115,1.0664302110671997
115634.41+524502.1,1.292892578849675,0.4041250242816001,57423,59308.26450978,0.5875698038048179,1.0681877136230469
162510.77+325758.8,0.1054212560552378,0.1655893564206247,58256,59308.48025929,1.5048801938581162,0.5473335981369019
121550.25+553750.4,,,56429,59306.3293028,,0.547
144939.94+350619.8,0.2195415831772152,1.8728765492114616,58220,59354.27372677,1.0920456189432453,0.5471102
120343.71+545658.8,,,56412,59307.34375238,,0.547
083901.00+232352.4,0.6612701123338767,0.1795265590087456,58511,59226.35471247,1.4951229506072432,0.5482934713363647
101912.60+325318.1,0.1002981255245548,0.3387834234825644,58171,59203.43642803,0.6573983190358111,0.6177847385406494
160354.11+422218.6,0.4846915848691738,0.3600127117362418,52824,59321.47337721,1.7741905581812698,0.618297
122716.20+543434.0,0.23188401384516,0.1748905647749019,56419,59307.32351862,2.3069532986388874,0.6180420999999999
150238.58+330005.7,0.1168258308187852,0.0479540120332604,53171,59292.46147514,13.552903832134287,0.617312
093053.11+314745.2,0.1621659687662215,0.3437402000280323,58434,59294.18947309999,2.630514316374623,0.4482166767120361
151119.76+322021.5,0.0309325013275655,0.1292132169437971,55691,59292.46147521,2.315965718453449,0.4489268
161251.11+542252.6,0.2534811880366635,0.2791532744515943,56809,59311.39483452,1.410759116836529,0.44947395
080934.31+335238.2,1.3187224755745173,0.1724071142390686,52289,59254.20777394,4.132557886089419,0.4497640000000001
160235.49+430814.0,0.0674516602604529,0.304861797725261,56096,59311.38455022,1.2816919423959134,0.54344165
155738.01+421628.1,0.6760052037926907,0.5165761785897708,52764,59315.38208559,1.3624447273808828,0.5434979999999999
132229.23+194052.7,,,54506,59347.19751097,,0.5436
090952.01+315503.2,0.1971869134048538,0.0697835682019864,58142,59251.15305477,4.5063022140894144,0.5428977012634277
140512.89+000502.1,,,51688,59352.29709243,,0.541783
142022.71+515158.5,,,56449,59231.5316127,,1.518
142931.58+012123.5,,,51999,59311.34644743,,1.520891
120015.01-012541.9,,,55209,59315.18047504,,1.516
160629.01+440654.6,,,57897,59313.41259930001,,1.5182406902313232
120841.59+572252.7,0.0885737027866381,0.1197943878447327,56429,59307.33334729,4.038186152253219,0.51
121105.69+445944.3,0.4708950686958422,0.3149471035095644,57787,59335.38730815,1.726203226587478,0.50897515
