Object,W1 Z Score SDSS vs DESI,W1 Z Score SDSS vs DESI Unc,W1 Z Score DESI vs SDSS,W1 Z Score DESI vs SDSS Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score SDSS vs DESI,W2 Z Score SDSS vs DESI Unc,W2 Z Score DESI vs SDSS,W2 Z Score DESI vs SDSS Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,Median UV NFD On-Off,Median UV NFD On-Off Unc,SDSS mjd,DESI mjd,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux,W1 Mean Unc Counter,W2 Mean Unc Counter,W1 min mjd,W1 max mjd,W2 min mjd,W2 max mjd,Off spectrum 4000A flux,Redshift
133316.67+321800.6,0.2760365990426207,2.0016567081356627,-0.1591940036769119,1.1543822321389476,0.0083554851482802,0.0605891137435751,0.0143150184328672,0.1038193765687361,1.1338409115852826,1.7208692238823668,-0.8095991561855749,1.2287563954743557,0.0546111176821879,0.0828851655826203,0.1486389016302061,0.2260112376533681,0.5946676676225975,0.7830413894004593,0.0814769600315366,0.1243578932926337,0.3672795408753381,0.1075369615949723,58526,59292.39605585,55371.4364376,60465.882205535,55371.4364376,60465.882205535,24,24,0.5836866496166057,0.0724279506176862,0.0509414521090717,0.3674079738428982,0.033915768654998,0.0690818817860795,0.0218978503723725,0.0277632402933707,5,8.0,3920.9596182499954,3154.563562399999,3920.9596182499954,3154.563562399999,3.0935575280471608,0.7302734851837158
150209.84+321742.2,-0.3883908300460871,,,,0.0089824010247798,,0.0389773770513667,,-2.620632844364096,,,,0.1214393492620846,,0.5459083163652201,,1.5045118372050916,,0.2924428467082934,,0.5824708567281193,0.2184481162642346,55273,59292.46147511,55217.33891295,60490.85283983,55217.33891295,60490.59740019,25,24,0.2304516543774167,0.0360824241580617,0.0314501596142555,0.2224537447435404,0.0486685264463883,0.1152402800985958,0.0166433685714404,0.0433433924468505,4,18.0,55.66108705000079,4075.1225621600015,55.66108705000079,4075.1225621600015,0.8337876584317211,1.119
162239.62+443407.6,-0.3937095745235002,1.4543848688001246,0.372814429977339,1.3771970531466486,0.0105283517668117,0.0388923117289901,0.0569349608973124,,,,,,,,,,0.3832620022504196,1.0014872777263035,0.0569349608973124,,0.3613388965401319,0.4083718685268484,57900,59311.4050539,55233.64612775,60509.273032825,,,24,13,0.1849189250485413,,0.0695182622759277,,,,0.0242934350759108,,11,10.0,2666.3538722500016,4077.7589261500034,,,0.5205618904443393,1.12
141811.08+520618.0,1.5212895255470895,1.389707096892863,-1.5764143552786205,1.4400639591511304,0.0461540686778104,0.0421620182844336,0.1883112438417793,0.1737051649735901,-1.3521740835407732,1.229479232974711,1.890423891244284,1.7188888206745505,0.0500618429585918,0.0455192841152941,0.2379093417890358,,1.5850754639026918,0.7276360690515404,0.2131102928154076,,0.0839862094074254,0.1305659857549002,56726,59231.5316127,55363.1056293,60459.580061515,55363.1056293,60459.58006123,24,22,0.2450945983692268,0.031383501795434,0.0460611552149452,0.2104240320373117,,0.0963862689057773,0.0267031429885854,0.0248811365512525,1,16.0,3868.4259833999968,1362.8943707,1362.8943707,3868.4259833999968,0.90678020473425,1.121
092852.16+313036.8,-1.0417445810974353,2.730704805570633,0.409972104218966,1.0746519016794636,0.0236679289347447,0.0620402817089064,0.0795937215217069,0.2089332828244584,-0.573286092499277,1.3301021945110958,0.6536717496084222,1.5166079205822816,0.0288467820592935,0.0669284823470543,0.1026089581632152,0.2389304104947019,0.6696686318560252,0.8902561737207296,0.091101339842461,0.1586985016713862,,,58430,59294.18947301,55316.4281953,60411.30438542,55316.4281953,60411.33653824,23,23,0.2973592449536359,0.0415215259854266,0.0852224779937127,0.2811331737079751,0.0556079861961796,0.0550497212065737,0.0174848536832807,0.0260548751039098,0,4.0,3113.5718046999973,3977.76127771,3113.5718046999973,3977.76127771,,1.7163937091827393
091639.26+311606.4,0.9426421307731262,1.4341352642380278,-0.9169844267237144,1.395099646185963,0.0474516866519366,0.0721929722357104,0.1076643730895819,0.1640486923175848,0.0878331638326115,1.2543580635406508,-0.1159910081763293,1.6564842942634364,0.005022907117459,0.0717328600072719,0.014304079227641,0.204328009739855,0.5158626823764454,0.72112764766502,0.0609842261586115,0.1310170876406584,,,58155,59251.15305474,55314.17870245,60408.95876172,55314.17870245,60408.958698040005,23,23,0.4407371286363644,0.0369248399368569,0.0745938789484503,0.351152076098183,0.1102872448754987,0.1227547324289077,0.0175427259657765,0.0305921685430873,1,1.0,3936.9743522900026,2840.821297549999,3936.9743522900026,2840.821297549999,,1.7172386646270752
114338.76+541535.0,1.3435195666985391,1.806118341015844,-0.8932882127770871,1.2008639582931908,0.0584548071455259,0.0785818844198253,0.3202987579618661,,,,,,,,,,1.1184038897378132,1.0844512100691084,0.3202987579618661,,0.1371852152606421,0.2797436397126104,57430,59308.25597081,55329.697572100005,60426.81956979,,,14,2,0.1825008861023602,,0.071269112150594,,,,0.0176329057900787,,11,0.0,3978.558398709996,2100.3024278999947,,,0.8680620552261296,1.2019152641296391
123925.26+533433.5,-1.129462237930119,1.198382680909074,1.710283835136828,1.8146463499504213,0.0413826804743263,0.0439078757169525,0.1479465617068132,0.1572866965840299,-1.0131702894471637,1.2670842812447791,1.3020403658302524,1.6283490527440612,0.0337829755767408,0.0422494399735326,0.1321891905962183,,1.2887391820860907,0.7494200106849833,0.1400678761515157,,0.8796812918414567,0.3970676040639191,58172,59309.27937463,55342.0686909,60436.701189655,55342.0686909,60436.797393465,23,23,0.2797137020077198,0.0187315886214745,0.030877928491216,0.2555653410416399,,0.0315504107438699,0.0236606851107967,0.0301578966918087,2,5.0,2829.9313091000004,3967.2106837300016,2829.9313091000004,3967.2106837300016,0.7447519529518484,1.065696120262146
123228.59+570509.2,0.550184458064219,1.963622369425564,-0.3255693027118414,1.1619651486568066,0.0158317419170305,0.0565038908671332,0.0307715218265933,0.1098800245204606,-0.6880015465319593,1.4666400423019927,0.6412767941285198,1.367035044047316,0.0258557557781413,0.0551177347483501,0.0685944530925153,0.1465909454745551,0.5512580253591348,0.7593497893649928,0.0496829874595543,0.0916003890326632,4.94214334270486,1.765782899893943,58135,59307.3128032,55335.2554853,60432.499799845,55335.2554853,60432.499799845,23,22,0.5144933034591882,0.0584778934347018,0.0839277681478882,0.3769365395080701,0.0568443131245217,0.080383266002734,0.0362152447131084,0.0391049294132726,7,11.0,3972.0573179000057,2799.7445147000035,2799.7445147000035,3972.0573179000057,0.1525384841336807,1.0673444271087646
153837.03+435132.3,-0.8219644908788429,1.381677305550398,0.8621114800056603,1.4491621961730985,0.0280786394610278,0.047198655592231,0.111159177183105,0.1872607245792816,1.6411122430368683,1.5828646557332209,-1.3375302108773253,1.2900575848824236,0.0470749725744799,0.0454041523204217,0.2144346319653624,0.2128845301501912,1.1656796061996744,0.714965573392015,0.1627969045742337,0.1417624792983189,0.1486283960173694,0.3248962012273331,57901,59338.37569316,55219.3545368,60493.28282816,55219.3545368,60331.7198141,25,24,0.2525984823976863,0.0280828668636244,0.0592061202986502,0.2195306427092612,0.0516342657676058,0.0453540274066326,0.0324320943890456,0.0202703415200957,1,12.0,2681.6454632000023,4119.021156360002,4119.021156360002,2681.6454632000023,0.6961565662572494,1.0676562786102295
