Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,W1 Gap,W2 Gap,SDSS Redshift,DESI Redshift
163004.62+431007.6,1.7309227766312223,1.779273579716998,-1.1761617919444174,1.2090161560830628,0.1058200969815265,0.1087760270442352,0.1834799404532208,0.1899197488971041,1.86534112832573,1.6022738929253588,-1.4899947720296658,1.279862266244695,0.0829048373824532,0.0712128492306159,0.1341172077850314,0.1161683596032172,1.5656051172327587,0.7430033473030251,0.1587985741191261,0.1113155411364934,1824.5573648699935,1095.391182139996,1.355846,1.354261073661872
141542.16+522206.9,2.5541120845457828,1.3833705009737212,-2.671989983911062,1.4472160971342656,0.1626927968380047,0.0881184569887939,0.4421694433786506,0.2488488641908768,5.157491287505481,2.364224020429297,-2.407427423179997,1.103578740910536,0.1206119520033434,0.0552892207046441,0.4137090025661468,0.1914084659758468,3.1977551947855805,0.8221765941288622,0.4279392229723987,0.1569736905155736,2191.054384980001,1826.6646171350003,1.002,1.0026246068769389
155601.81+433309.0,1.6082728736611616,1.0640255231390614,-4.424107155111101,2.9269678095261606,0.153874342786449,0.1018025179448032,0.7412874009796567,0.4994650902061053,2.559801702353475,1.0262172726965972,-11.106304115519013,4.452485951817323,0.4287654557992916,0.1718908602460579,2.240394593581267,0.9941197647877889,4.924621461661188,1.3824128343634632,1.490840997280462,0.5562687037476406,2921.9397193200057,3815.169255760004,2.184,2.186224848578294
101426.13+324355.1,4.0572353703402575,1.198124563122786,-6.148014630301496,1.815543509467316,0.3571694475507231,0.1054741589398173,0.4484300365395213,0.1366351564568059,2.519737726073401,1.0387635143818728,-8.963143299826143,3.695061647763144,0.2267965510157443,0.0934970254820638,0.3927726334993392,0.1651616542710382,5.422032756635325,1.102956564282682,0.4206013350194302,0.1071768841932832,3286.4127750199987,1821.661011239994,1.08377,1.081078578275372
075946.18+344717.9,2.8692999002995894,1.0800813010114907,-7.030241244786182,2.646371022178782,0.237604153506388,0.0894405646541576,1.180523684347206,0.5808392332014423,,,,,,,,,4.949770572542885,1.429147928296984,0.7866481589232726,0.3019323545380593,3478.3419710699964,,1.6266732,1.6322050645391557
143002.78+021543.6,4.202830382912127,1.179977310633556,-6.709760173293145,1.8838173428242595,0.2226307760345716,0.0625053215179985,0.5338331502303522,0.1703089270873549,2.3360391995255894,1.037605997343886,-8.439009299780233,3.748381732152042,0.1927419222270018,0.0856107956077708,0.4860500114592521,0.2302822149614584,5.421909763877775,1.1199359928805808,0.5099415808448021,0.1432087891621891,2190.1410592900065,2716.324614095,1.020913,1.0218170609368005
105856.77+305337.5,5.142377107933859,2.2216791889453664,-2.592054854044255,1.119854535162381,0.1283150908526568,0.0554364180205992,0.5441242207055027,0.2384742452771187,2.760631215283293,1.3829709761445768,-2.889788690591982,1.4476739465069897,0.2020110999609476,0.1011998584086002,0.8269514524937672,0.4358909548979104,3.346212966963347,0.7983694780132387,0.685537836599635,0.248430518567216,3447.0539225899997,1824.4297571150016,1.332636833190918,1.3348114921804164
142159.83+533747.5,3.635481631659724,1.0965490067384784,-8.080449870467334,2.4372587121051814,0.2246277373661031,0.0677531472445538,1.164886896086617,0.398885497187317,,,,,,,,,5.857965751063529,1.33628680996182,0.995919174290192,0.2954278949372356,3841.582446970002,,1.01,1.01075262938875
114249.08+544709.7,5.242397009852553,2.737965976358739,-2.056797804947436,1.0742113578219457,0.1890413957809512,0.0987313453748075,0.3181099429124655,0.1682200169119704,3.961284169555909,1.425507013770403,-3.8992525912599967,1.4031843410836855,0.2142334942285608,0.0770940269709535,0.4908989537902689,0.1988676963890431,3.789932893903974,0.8892196111739916,0.4045044483513672,0.1302366449553929,1811.121688365005,2190.70826349,0.4819724,0.4810635719218181
125121.56+611941.5,3.4222098332209585,1.3747553482592734,-3.627632447950447,1.4572768335029092,0.1261016094823372,0.0506569937287513,0.5708749567695718,0.2527303835061607,2.032317412695181,1.1260292053104648,-3.926190123255053,2.175351506005017,0.1752177168654443,0.0970814230325657,0.7394053765826233,0.4283121611804693,3.2520874542804097,0.7911109270719465,0.6551401666760975,0.2486583771775321,2016.967025845006,5097.438183304999,1.573117,1.5697835439829515
130200.46+285847.0,58.3810922967351,14.07321874438628,-4.158894957860774,1.0025341454629313,0.1736630657022255,0.0418628397534251,0.3422377202809786,0.0973572930770176,2.377541207705453,1.217350191865217,-3.424765934906305,1.7535508761908083,0.1531369106570766,0.0784092603593409,0.3385200623612605,0.1745100593043527,17.085573599301906,3.567364597160525,0.3403788913211195,0.0999152182023502,1825.3694305799943,1983.656504080005,1.776174,1.7742836766970256
162818.98+313536.1,3.260691734250137,1.233431201920032,-4.515896709484375,1.7082411831877682,0.1656936748203985,0.0626774209710046,0.6473303534142658,0.2486018497302318,3.8034451225318135,1.3027555340570367,-4.555197295617194,1.5602455916694538,0.1957274574603341,0.0670405435490099,0.8744928457462116,0.4015277320200691,4.03380771547088,0.731905849377536,0.7609115995802387,0.2361288839121938,2012.347998410005,5097.302365110001,1.2531524896621704,1.2552437913351888
120010.95+571020.3,2.8314109479604608,1.165750146598345,-4.725761176786842,1.9456931140978837,0.1704872589135412,0.0701931124532708,0.3567074429492738,0.1497462809214568,3.867658620275121,1.5840244178878746,-3.1483595559461164,1.2894308682689593,0.1551540288993768,0.0635443286079916,0.2954389200708888,0.1261403461802212,3.6432975752421353,0.7630719338245512,0.3260731815100813,0.097897057647656,2537.259484035,4539.480862235003,1.507276,1.503940622488288
114249.49+531937.6,2.4532223082214584,1.1463365801141383,-4.377352701344075,2.0454401987115687,0.1500410324903326,0.070110859291206,0.7021509807547521,0.3353172958662284,2.0372164445805274,1.032758248987885,-7.894669750593247,4.002169396212146,0.2302661482423406,0.1167324486765128,1.0743222619747816,0.5612401996712925,4.1906153011848275,1.1880094338388747,0.8882366213647669,0.3268899855586402,2016.7651831299956,2384.4524667299997,2.253,2.246877354350348
154351.25+435220.8,1.806634477130613,1.2260565307763018,-2.546793133018943,1.7283586651315566,0.0944861720272521,0.0641222060956442,0.3728970356190549,0.2663626643862938,3.226132055600317,1.094886012094584,-7.2360380988184865,2.455769559595913,0.3161347577859436,0.1072899429630852,1.556599340965488,0.6744886193306022,3.70389944114209,0.855862788408313,0.9647481882922716,0.3625892878262771,2193.4332022200037,1820.599021889997,0.7597995,0.7600327324994309
115838.31+541619.5,9.604988702469328,1.1352517750510742,-17.87313870898952,2.112497273411469,0.7576016295071135,0.0895439465179614,0.6037559035623848,0.0756206042117659,5.393575682219596,1.3096082174966992,-6.378247676929229,1.548695348518457,0.5763158627228747,0.1399346248507591,0.6521765818685433,0.1653115560263735,9.812487692651917,0.7852138358747051,0.6279662427154641,0.0908933253011647,2537.112666424997,2384.6257732100057,0.6103,0.6102552258401017
