Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,W1 Gap,W2 Gap,SDSS Redshift,DESI Redshift,W1 2nd lowest Flux,W2 2nd lowest Flux,W1 median_abs_dev of Flux,W1 Median Unc,W1 median_abs_dev of Uncs,W2 median_abs_dev of Flux,W2 Median Unc,W2 median_abs_dev of Uncs
114338.55+564817.9,8.796318655637833,3.205942196068958,-2.88783409676955,1.05251180050717,0.11246625079441347,0.040989908752838304,0.5346165244942698,0.21854384078866707,,,,,,,,,5.842076376203692,1.687145996553225,0.5346165244942698,0.21854384078866707,4175.116823584998,,0.73048996925354,0.7309492681689903,0.21036807813002595,,0.02656344577209252,0.03250150087877555,0.017321435396843894,,,
122523.45+580846.3,3.104414304794484,1.6566429420146052,-2.350436060748107,1.254289192225823,0.12437257681300451,0.0663703137945286,0.2965821128260796,0.1626326649973277,2.136467017608319,1.1767315464744863,-3.4445835092909056,1.8972209944930243,0.10255218643977082,0.05648408889490056,0.3727774474738982,0.2092456352649589,2.758975223110454,0.76247343599116,0.3346797801499889,0.13250765978007575,2188.609246535001,1253.1444063050003,0.7320503,0.7309383787566023,0.4193529260004245,0.27510297936398503,0.0357836598392583,0.05102242926572387,0.007885824792682669,0.024597519923010236,0.04210909882506768,0.012337085412368623
095209.81+331752.0,3.983913609044808,1.2173234276437686,-5.739077854634544,1.753630879358657,0.10347941777912573,0.031619139344657925,0.39379895405450077,0.12332575850441323,3.13213080681339,1.65311251495392,-2.379403270251271,1.2558291996037352,0.16504319336590462,0.08710842084488715,0.7538799472438906,0.4640796466389752,3.808631385186003,0.7444371008606613,0.5738394506491957,0.24009329495804593,888.8289660749942,933.7641493300034,0.73179704,0.7313494091052853,0.26277220067172763,0.21892503437621064,0.024298320743209645,0.028382881058036383,0.011871585202875606,0.05018107200253302,0.0717344286101636,0.018332242234716897
160344.93+450146.4,7.46916247065947,3.285149255118321,-2.386885817855597,1.0498200028963185,0.15977625594792466,0.07027412380903467,0.3539424012767428,0.16428334007900014,2.2531232341755585,1.7909992630594411,-1.516411417455535,1.2053897851493058,0.08721931979660796,0.06933031230199416,0.3170423006431824,0.2605871810803732,3.40639573503654,1.0171949960954954,0.3354923509599626,0.1540249125717392,3445.872339829999,2187.5064605850057,0.7304642200469971,0.7313592231561612,0.4514188053524498,0.2751031001846331,0.031509484636414564,0.05159889951584788,0.005439887041302639,0.01818753893130709,0.044571911826556954,0.005861503770016527
112934.69+503103.4,5.964809076509382,1.3873560400748763,-6.202728680532935,1.442693804529772,0.246112742556427,0.05724340805303142,0.8569473529714942,0.23182827946093024,1.960699846147805,1.1372425618501845,-3.6202603138269724,2.099818655032819,0.2835654574531386,0.16447326597174472,1.1737027999779006,0.7798987103858778,4.4371244792542734,0.7789689188306969,1.0153250764746975,0.4068127178504165,1826.7569857499984,573.8951739499971,0.7314494252204895,0.7313765681377487,0.2871970392382014,0.24159902954860274,0.038420400787904985,0.04907441621672595,0.013920670148326701,0.03922315440129842,0.05437450546926522,0.01957215214697664
095656.19+021315.1,3.150387389919885,1.4627108497528447,-2.951225583621935,1.370240909116181,0.1266056597092174,0.05878244456199978,0.43218898114181015,0.21040821022744408,14.829068747909904,3.4101940992047775,-4.548403837153355,1.0459820633340136,0.12220872570408975,0.02810395462804514,0.40216735091187483,0.09908569994443481,6.3697713896512695,1.0228815134849378,0.4171781660268425,0.116285844865782,2190.9936844399926,4208.060347470004,1.121638,1.1216972783520822,0.29294050804982336,0.30387530322139156,0.020492371711698543,0.04021290424927383,0.010717756850463958,0.02853374074060916,0.041896381022303184,0.016189341595974523
144102.63-013845.8,2.8763544100108414,1.1736338809005564,-4.682005968659641,1.9103907419311628,0.17201162321141283,0.07018560306998253,0.24795805717767594,0.10202255256656101,2.1645932911905215,1.196411772207635,-3.2956089193694136,1.8215455641357272,0.15621943011182315,0.08634544234892136,0.22461542478876118,0.12508951686803507,3.254640647307604,0.7816824260910548,0.23628674098321856,0.08070933722698251,3106.566931229994,3837.680062890002,1.125569,1.12165363060735,0.6937125785275725,0.6954973384340777,0.04050345619336981,0.05753670759332901,0.011336922909264295,0.04424893288002718,0.06484180299978451,0.01499209412789266
135652.64+040036.9,8.41833184108523,2.710474689129264,-3.341588582804477,1.0759009559318182,0.18729326560674353,0.06030335527923306,0.20005176960817117,0.0655152397932023,3.730438227965765,2.0101133404118,-2.139357555847816,1.1527737225836576,0.17798417149426482,0.09590518208308652,0.19014548087606148,0.10384264195290778,4.407429051925822,0.9311846891247679,0.19509862524211632,0.061391247203735407,1458.8913790399965,934.5071103849987,1.121194,1.1218722981304416,0.9362239882885469,0.9360420803809505,0.03669968150904768,0.05314902586265808,0.01725352132222866,0.048930333008101456,0.06687080241599568,0.02040900731734105
114302.72+550813.1,2.5577152224557422,1.2302948831707254,-3.56885497246682,1.71666648923825,0.12226393282576653,0.05881057032121279,0.5324990003151999,0.26817896093057825,2.046115291854963,1.1416083432979027,-3.7154862215310356,2.073016162282264,0.12711985270427756,0.07092517465838405,0.5509572348172691,0.3180724005211215,2.97204292707714,0.7929862448917586,0.5417281175662345,0.20802043593062758,1095.5208825149966,4002.4897167299932,1.1219321489334106,1.1219665802579732,0.2296040607651758,0.23072544413803409,0.02825740333440553,0.03673198093959391,0.01672507342144701,0.027519992649414127,0.046864197702197755,0.018012910625153034
123401.05+623314.7,4.222531765156658,2.18452186383488,-2.1740987544213333,1.124767444583896,0.07762097029957671,0.040157118085105095,0.3043685363894269,0.16312822724532164,2.5096948872644247,1.1120467313299103,-5.159047999000035,2.2859760734961543,0.10290496621149309,0.045597228529178066,0.4086402284661747,0.1839389110300879,3.5163433514606126,0.8838683484839116,0.3565043824278008,0.12292715476567402,1253.5716244150026,1095.018643794996,1.122894,1.1219925939604516,0.255022977145916,0.2518228971184394,0.018506733613104953,0.03906259766447184,0.005426371905674729,0.02367743433163766,0.03370989892552603,0.01376339595997136
123731.71+542544.3,1.2807532837877798,1.244219372230057,-1.7299867199737593,1.6806382758794876,0.08489085074564998,0.08246931111544957,0.43021090613639523,0.43141470398838294,,,,,,,,,1.5053700018807694,1.0455413502802906,0.43021090613639523,0.43141470398838294,1993.1114257899972,,1.718056321144104,1.7180635825632682,0.1973237998730231,,0.03485916068913765,0.059263576091096906,0.008791770087284288,,,
131244.36+272802.5,2.4201082002316614,1.024898503745035,-10.778207215387358,4.564493623486349,0.16754503790598282,0.07095412454836096,0.7147464222584803,0.3063784862937323,4.96264772093477,1.623619721048581,-3.8797441211555452,1.269328274331733,0.13926474729678162,0.045562974217180745,0.5163520979103831,0.18237660224499508,5.510176814427334,1.2779953601349214,0.6155492600844317,0.17827577086501958,2915.0607971350037,1663.2645691349899,1.719254,1.717936860904682,0.23441185949076634,0.2697088824861366,0.029328721651369433,0.04144954497181412,0.021325652070358796,0.03257125488401791,0.02806258979643019,0.012667764694843684
142741.21+332937.3,1.7021874264075232,1.109015976102599,-3.5499510898976148,2.3128783658026726,0.11980464284834244,0.07805560120397007,0.6032451090426559,0.40617704190132164,2.249106992911432,1.1275251919468392,-4.317921745831156,2.1646660477354294,0.1408827157589425,0.07062750310622906,0.6025073627492293,0.3135316775365828,2.954791813761932,0.885170002278592,0.6028762358959426,0.2565550146589478,2715.8806332299937,1097.811561494993,1.717,1.7178637780122714,0.19860027218201773,0.233827376176944,0.024320916205950505,0.03588468620127713,0.013558052088632975,0.03548805516945136,0.03262743607962817,0.017964776337111563
142030.56+513909.1,2.5218644979502773,1.3064379600939762,-2.999712120585689,1.5539842790413123,0.17616964975656563,0.09126371303672468,0.9089733508974697,0.5455289062426958,,,,,,,,,2.7607883092679835,1.01509202576442,0.9089733508974697,0.5455289062426958,1460.2847399599996,,1.7167948484420776,1.7178297175837014,0.19381167729793786,,0.0412287349472967,0.05872885219471286,0.012195742147255807,,,
165002.32+355533.7,1.4572393815983005,1.2759365904814899,-1.8388494471139587,1.6100685471360128,0.08228109723190002,0.07204407456240881,0.2659012422622286,0.23597269311627808,1.2975159353435752,1.3045154792423221,-1.5488815217538145,1.5572370755548575,0.08770908232228114,0.08818223533359351,0.3109920542886827,0.3188438860749009,1.5356215714524122,0.7222829628369198,0.28844664827545563,0.19833339077415427,932.7643514500014,200.79733959499572,1.204051,1.2028033500852902,0.3094423197570299,0.28202997829926535,0.014045409689798005,0.04793731997871,0.011960417250820428,0.020566147599798745,0.04292981138019827,0.009182344614519666
114639.33+565414.5,1.034103102846753,1.0668884497239903,-2.781184221729955,2.869359268481002,0.06086532484748758,0.06279500747045551,0.23822663120191076,0.24662502986564933,2.462294500118465,1.0057335379891341,-22.961065084959962,9.37853421789495,0.09561614838952778,0.03905477886746172,0.3912334195168628,0.15993975883841757,7.309661727413784,2.479161622421919,0.31473002535938677,0.1469733239515964,940.7158953800026,367.1703744799961,1.203,1.2028182318385867,0.25549337007540823,0.2443966788614452,0.02114064671553828,0.03340326539202234,0.011518586063003253,0.022214003408808247,0.03120619822769775,0.015588025797681693
122133.20+330701.3,3.201484071201844,1.5754714887473396,-2.629729427275451,1.2941072464049548,0.17182704587715036,0.08455722588477751,0.37784330115871845,0.19370256713160247,1.445011409410039,1.0562365258548772,-4.249379317910374,3.1060997986318313,0.133964842696628,0.09792210574610735,0.30136678880252343,0.22131960771641318,2.881401056449427,0.9656706068409228,0.33960504498062094,0.14705700703563904,3473.768948680001,1826.7644376899989,1.205404,1.2028667307677523,0.4547574228528455,0.4445242398106818,0.02294262053309415,0.05514626694474704,0.015079667345098465,0.019256539918899168,0.05772032786237381,0.012737828110738755
161501.19+424846.9,2.4201879392089265,1.5247952880965931,-2.102524394065762,1.324657162876169,0.09319026289428356,0.05871282616346419,0.2924091737127854,0.18866215501213016,2.3892837518122945,1.375997994790355,-2.5278536705433643,1.4558009609167466,0.10299128618654024,0.05931309044648471,0.3212959359378876,0.1894884473143459,2.359962438907587,0.7111805409508332,0.30685255482533647,0.13369674678112278,1284.0596859500001,1464.5856091800015,1.2029292583465576,1.202693602967678,0.3186981506463211,0.3205496075943219,0.014849954276678679,0.04721614172972241,0.006908458796998973,0.018383954373121014,0.043822898020309496,0.009557860252748414
095946.01+024743.5,1.442547250860205,1.1939237956993778,-2.211585462954853,1.8304180392497291,0.11610996490669567,0.09609837732334892,0.13240060195459472,0.10986761653864001,3.0551115441754555,1.3383518897255933,-3.4346922844741465,1.5046347221971978,0.11742377121428038,0.05143979976867007,0.14868280234299094,0.0654506670898164,2.5359841356161654,0.7429247798533147,0.14054170214879283,0.06394271457012053,363.93103462,358.8056168049952,1.068339,1.0671252553514692,0.8769594940853386,0.7897602773412876,0.028391333232617222,0.07392205910858825,0.01944173480664456,0.020996789049353648,0.06982550573350227,0.02957345774900212
141945.05+512241.4,1.1463950143822914,1.2914181670955478,-1.4028905878651807,1.5803613666207803,0.07765764197406427,0.08748161706996477,0.26940419680139577,0.3078628692571469,2.6836490673103173,1.0447219241831016,-8.874591193574759,3.4548034245707675,0.1454840507873587,0.05663571266747391,0.7029426695757065,0.27925665693362905,3.526881465783137,1.036593384984762,0.4861734331885511,0.2078243409161868,4748.874231400005,4732.985672490002,1.0633749961853027,1.0671441716419363,0.2882569866991097,0.20696431883296018,0.019979492238066693,0.04803507519575674,0.009343096222661006,0.018597489353332608,0.021787776430681676,0.006425949178804846
132550.58+192809.7,7.112378719303032,2.2022705372158873,-3.62480594814093,1.1223816472329153,0.27805926130818914,0.0860980190941022,0.18195239013992148,0.057075090450199324,2.2992272856885463,1.0589360385313167,-6.600396216537843,3.039889734165437,0.400867473211159,0.1846242068805134,0.23708570333137743,0.10952418413573836,4.909202042417587,1.0146431395667899,0.20951904673564947,0.06175174665646624,3474.7920095750014,4901.526971629995,1.0671,1.0671632107233309,1.5281979043768616,1.6908125103218978,0.049293059880733514,0.0718708141098615,0.014192978070989848,0.025768518128486573,0.07659606994637293,0.018683997186019125
153722.08+425656.6,3.0834663197198555,1.013003871955143,-19.058142139601014,6.261126205990576,0.1297184452033493,0.042616092938849603,0.6143592374659024,0.20280329191653962,1.4941471143811487,1.0576150682761014,-4.339535586223364,3.0716909875444993,0.13227749586291593,0.0936311233826485,0.7274291568247062,0.5291439929910805,6.993822789981346,1.781532229703283,0.6708941971453043,0.2833383756794735,2352.076286439995,2722.2125955899974,1.0664302110671997,1.0671979683208597,0.21114429033151605,0.18184244420490253,0.02218251469067506,0.034384851486040355,0.008367761023757567,0.04187470718924155,0.037052628280174936,0.027541996133964748
115634.41+524502.1,4.807185190116792,3.2784736048873935,-1.5396585696737723,1.050038594642014,0.10202522793063223,0.06958063889256394,0.3219053820473662,0.22962238262035925,4.718941676852567,1.2850404168490446,-5.84715281827585,1.5922696675473271,0.1630990459852953,0.044414379408142336,0.8105057627750502,0.24766211969280932,4.228234563729746,1.0011749908016818,0.5662055724112082,0.16886604464114896,886.5043485700007,2352.752210810002,1.0681877136230469,1.0672323809851232,0.31694166553456354,0.20123119843943937,0.020168062235198014,0.040254780930848215,0.014945958712598215,0.033987931951966116,0.027641818181025644,0.015887852384553855
162510.77+325758.8,2.079480693140975,1.354734810607494,-2.2752650001804136,1.482283874655963,0.10802571073505896,0.07037631619091869,0.3918751242037869,0.26406888526100525,12.952873848838637,3.2198538200669273,-4.23209340347987,1.052023070022911,0.1263750571716473,0.03141458917487941,0.5573986284911328,0.15680643379572315,5.384928236409975,0.9844631485801294,0.4746368763474598,0.15355832266823122,1460.207007729994,3634.560515899997,0.5473335981369019,0.5474908425106322,0.27566360828477166,0.22672294245456273,0.023254908112431416,0.04811949564504444,0.009638987661093043,0.016832321291299523,0.029827401903390872,0.012134796449914454
