Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,W1 Gap,W2 Gap,SDSS Redshift,DESI Redshift,W1 2nd lowest Flux,W2 2nd lowest Flux,W1 median_abs_dev of Flux,W1 Median Unc,W1 median_abs_dev of Uncs,W2 median_abs_dev of Flux,W2 Median Unc,W2 median_abs_dev of Uncs
163004.62+431007.6,6.085330574796062,1.9318098630936091,-3.681735822817557,1.1687801489835052,0.06710315697572211,0.021302136161232787,0.11634919639393262,0.03711802555339305,4.3019809163312495,1.471791272070628,-3.9837092233451927,1.3629043409115982,0.07991205674996193,0.027339467548849188,0.12927571246804276,0.04442624887699963,4.5131891343225155,0.755050253907919,0.12281245443098769,0.028945808894654552,4382.200448209995,2015.7052498850026,1.355846,1.354261073661872,0.5767393248555467,0.6181521279158788,0.017003484660190082,0.016016171100664757,0.001311372061792205,0.022240539224305966,0.02009528484539042,0.0016951549765442057
141542.16+522206.9,5.701050659964975,1.2911715305059015,-6.979939261050679,1.5808136773484494,0.10540475367972207,0.02387202381605927,0.28647095734934985,0.06593653371466225,4.660364772067623,1.462827243975502,-4.365092773817998,1.3701452449158005,0.10137389389253076,0.0318199327878114,0.347720867061025,0.11260498049498,5.4266118667253185,0.7151598309802512,0.3170959122051874,0.06524474712683699,1634.591655294993,2553.210080325007,1.002,1.0026246068769389,0.36794219789331567,0.2915381373265115,0.029325659723110825,0.01798795832843065,0.0018886669463102131,0.025643635317997515,0.02372500659691485,0.0035491661240925915
155601.81+433309.0,3.168189192714443,,,,0.1010110973344428,,0.48661948741558764,,2.4802548196401135,,,,0.21778265174406894,,1.1379626528765943,,2.824222006177278,,0.8122910701460909,,4746.885450005,3999.531494359995,2.184,2.186224848578294,0.2075771726095636,0.1913794369204894,0.024503265272036903,0.0316349119057429,,0.08206123552162647,0.0892955236146876,
101426.13+324355.1,7.173093490601854,1.2013704743370923,-10.773629247259997,1.8043986316462648,0.21830934263706114,0.0365630810276947,0.2740896993485243,0.04643192335753204,6.407796551490807,1.3328127064098276,-7.272250478415879,1.512617912248261,0.17818137977813286,0.03706147739017698,0.30857951526407806,0.06550608295109872,7.906692441942134,0.7400822630507714,0.2913346073063012,0.04014651420197012,3844.081997879999,2922.1846432699967,1.08377,1.081078578275372,0.7964886792752671,0.5774245241964545,0.050920427336781704,0.02547890627873648,0.0018758285523477435,0.0538707969782829,0.030644879308874978,0.0030561146499902617
075946.18+344717.9,3.193797796711987,1.503703320952607,-2.843993353869934,1.3390084542559457,0.18136022174378327,0.08538798793260642,0.9010786806857782,0.5113620966362267,,,,,,,,,3.0188955752909603,1.006735729724141,0.6048290979749281,0.25777036329832115,1457.5038854250015,,1.6266732,1.6322050645391557,0.20127012838185962,,0.026035371497640666,0.0654269866482896,,,,
143002.78+021543.6,4.452638307697859,1.219776069899424,-6.3748891042928175,1.7463662306088668,0.1639629203355904,0.04491675109348451,0.393156974263632,0.11039883827519885,8.400950547146696,1.9680195024033191,-4.956247659324494,1.1610581442601466,0.17505661289631602,0.04100902942722708,0.441451801046489,0.11063797245017445,6.046181404615467,0.7809771702930458,0.4173043876550605,0.07814835961234098,3648.510427180001,3447.40952103,1.020913,1.0218170609368005,0.4170418714883201,0.3965475109204072,0.04751917137990913,0.02717028168846194,0.003928759976992779,0.03613276666191362,0.03513235823636098,0.008756640145051769
105856.77+305337.5,2.641308674625223,1.1536389615860139,-4.591790089324597,2.005546720593348,0.11154035363620288,0.04871725102786934,0.4729904144260553,0.2122546022891441,1.213506490782135,,,,0.15044138854795983,,0.6158459846957165,,2.8155350849106515,,0.5444181995608859,,1288.816474735002,1274.354269079995,1.332636833190918,1.3348114921804164,0.2358194801295291,0.24428411045383605,0.03309416047965613,0.03160020836725001,,0.02431378738147094,0.07283767153596307,
142159.83+533747.5,2.363996908024732,,,,0.18681458210586213,,0.968793352257909,,,,,,,,,,2.363996908024732,,0.7923196684768128,,2921.8146183499994,,1.01,1.01075262938875,0.1928322295672906,,0.04377440415396551,0.05702869461590224,,,,
114249.08+544709.7,2.5952788475181143,1.1410822785856953,-4.722055813479459,2.0761754415741493,0.15214911065488101,0.06689633911087735,0.2560293458724221,0.11342271553011034,3.5274374549194594,1.19249869468114,-5.429699012880485,1.835584349296221,0.14796952871814756,0.05002313211900828,0.3390603654304489,0.1165630826631327,4.06861778219938,0.8063806588274312,0.2975448556514355,0.0813198386590822,3080.092399809997,2547.655861860003,0.4819724,0.4810635719218181,0.5942643415989354,0.4364105740589736,0.036935276403594286,0.02958883680607395,0.006064773149647745,0.03285107468932269,0.03232812703675381,0.0052208466414241025
125121.56+611941.5,3.024037365667701,,,,0.09112644404787085,,0.41253878534896615,,1.7803018210676729,,,,0.1375665505761428,,0.5805203318111813,,2.4021695933676868,,0.49652955858007375,,1991.9040746699975,4384.4470019299915,1.573117,1.5697835439829515,0.2208918222580868,0.23697111545937616,0.02043767347019379,0.02459657624942969,,0.02998015652864841,0.04572210518228839,
130200.46+285847.0,5.022223093994924,1.4067291923195595,-5.076094700045043,1.4218186774837,0.12991828275007922,0.036390227502854096,0.25602989749959765,0.07286762944338368,2.3712343090915944,1.2108532815843267,-3.4729963476411485,1.7734599269030846,0.12478707458077143,0.0637215977249082,0.27585072787290094,0.1425549412031043,3.985637112693177,0.7336459105905657,0.2659403126862493,0.08004936396080671,1619.1883724500003,2177.801343979998,1.776174,1.7742836766970256,0.5074340302397042,0.45237174301844674,0.03863495415969803,0.02830657369397182,0.004566839539875654,0.032042091686758256,0.037237520223674866,0.004644464805241499
162818.98+313536.1,2.8158428509967206,1.161715822960038,-4.762476605723379,1.9648271306715432,0.10843641673708349,0.04473697850857278,0.4236382833893866,0.17879436848791683,2.78747163596011,1.7825813193445252,-1.88895575636993,1.2079826036377044,0.12927990574398016,0.08267418472456087,0.5776111034128497,0.40943646524842914,3.063686712262535,0.7844961534922463,0.5006246934011181,0.22338623798150656,3632.545805199996,890.9196013300025,1.2531524896621704,1.2552437913351888,0.2559646306502812,0.22381824895699218,0.02072131466567856,0.022378603361667252,,0.020805440084228632,0.0376473165134437,
120010.95+571020.3,6.003109517358494,1.4160871107640127,-5.987256178515822,1.412347430731062,0.1486374500080298,0.035062424985679574,0.3109914785230536,0.07511790261333418,4.549623001597346,1.2104671246388048,-6.670236720355045,1.7746750138887493,0.13294068591021724,0.03537003610293709,0.25314104285535294,0.06803211457545448,5.802556354456677,0.73377150884646,0.28206626068920326,0.050673138610693245,3443.975914759998,2191.262319105008,1.507276,1.503940622488288,0.47794701872196604,0.5251644870017413,0.03458905800125067,0.02231661148188267,0.0017137369299176745,0.034689762753847386,0.02786529500987568,0.002019953566342946
