Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,W1 Gap,W2 Gap,SDSS Redshift,DESI Redshift,W1 2nd lowest Flux,W2 2nd lowest Flux,W1 median_abs_dev of Flux,W1 Median Unc,W1 median_abs_dev of Uncs,W2 median_abs_dev of Flux,W2 Median Unc,W2 median_abs_dev of Uncs
163004.62+431007.6,1.2233336617107584,1.622971902505953,-0.9570042736731768,1.269638117026584,0.06710315697572211,0.08902439436575635,0.11634919639393262,0.15500489508633727,1.0714808441686514,1.361328858819996,-1.1599916125717078,1.4737828182156978,0.07991205674996193,0.10152919635795318,0.12927571246804276,0.16487696046292996,1.1029525980310737,0.718995427734704,0.12281245443098769,0.11314915995293667,4382.200448209995,2015.7052498850026,1.355846,1.354261073661872,0.5767393248555467,0.6181521279158788,0.017003484660190082,0.06172279815096846,0.010421943432703668,0.022240539224305966,0.05919246706933848,0.01281328424684568
141542.16+522206.9,1.389492535468188,1.244968599171779,-1.8736819508619713,1.6787964916069753,0.10540475367972207,0.09444139150447015,0.28647095734934985,0.26038467283265765,1.9121289133866421,1.0576460168544837,-5.551970941761102,3.070933089885302,0.10137389389253076,0.056072419771409136,0.347720867061025,0.19356207329702296,2.681818585369476,0.9655810948813502,0.3170959122051874,0.16222396098080907,1634.591655294993,2553.210080325007,1.002,1.0026246068769389,0.36794219789331567,0.2915381373265115,0.029325659723110825,0.05739175608584754,0.011298113557407785,0.025643635317997515,0.04820660303934683,0.010391575568549319
155601.81+433309.0,2.831845594979265,1.2454194260855238,-3.8147524804358306,1.6776927574250415,0.1010110973344428,0.04442374368629793,0.48661948741558764,0.22283139014121903,2.4802548196401135,1.0825163233089177,-5.983181270481224,2.611381435215562,0.21778265174406894,0.09505203803239214,1.1379626528765943,0.5417770812520709,3.7775085413841083,0.8788087507247517,0.8122910701460909,0.29290622825500023,4746.885450005,3999.531494359995,2.184,2.186224848578294,0.2075771726095636,0.1913794369204894,0.024503265272036903,0.03270299622919083,0.013418905553679899,0.08206123552162647,0.08439814265254643,0.013480823252479221
101426.13+324355.1,4.535353257213483,1.5946096222884831,-3.6513977291814284,1.2838148703178183,0.21830934263706114,0.07675657411048387,0.2740896993485243,0.09854049652180545,2.056463404292779,1.1424415390039686,-3.722615374921064,2.068050629623154,0.17818137977813286,0.09898635167086084,0.30857951526407806,0.17332520415399888,3.4914574414021886,0.7815436066477135,0.2913346073063012,0.09968933725553267,3844.081997879999,2922.1846432699967,1.08377,1.081078578275372,0.7964886792752671,0.5774245241964545,0.050920427336781704,0.05809508744340897,0.019010772180841913,0.0538707969782829,0.05896909010800733,0.018097837039239603
075946.18+344717.9,1.7068649677183427,1.1662752244335242,-2.843993353869934,1.9432579904114835,0.18136022174378327,0.12392071857933153,0.9010786806857782,0.6786643600558588,,,,,,,,,2.2754291607941384,1.133186824449696,0.6048290979749281,0.35022383556985875,1457.5038854250015,,1.6266732,1.6322050645391557,0.20127012838185962,,0.026035371497640666,0.0654269866482896,0.01013416374657403,,,
143002.78+021543.6,5.471471192863891,2.3336473870978227,-2.5949188290804877,1.1067636713709845,0.1639629203355904,0.06993213107310557,0.393156974263632,0.1779519619854854,2.4630573099164694,1.3587253114433333,-2.67765624931566,1.477107051728728,0.17505661289631602,0.09656854102425592,0.441451801046489,0.254166279427946,3.301775895294127,0.8177261027461531,0.4173043876550605,0.15513493994965186,3648.510427180001,3447.40952103,1.020913,1.0218170609368005,0.4170418714883201,0.3965475109204072,0.04751917137990913,0.05547193664618261,0.01482932484687205,0.03613276666191362,0.04498348622360859,0.014069024624120775
105856.77+305337.5,0.907916090375942,1.00995248340198,-6.41929133998728,7.140725116807301,0.11154035363620288,0.12407584615861673,0.4729904144260553,0.5273005495415851,1.213506490782135,1.0508852803990034,-3.75643028787094,3.2530335242164634,0.15044138854795983,0.1302808365581473,0.6158459846957165,0.5427897572506424,3.0742860522540743,1.995252900554964,0.5444181995608859,0.37837368768291385,1288.816474735002,1274.354269079995,1.332636833190918,1.3348114921804164,0.2358194801295291,0.24428411045383605,0.03309416047965613,0.03589704368855183,0.013606187561532673,0.02431378738147094,0.07210938628617772,0.013223083566522895
142159.83+533747.5,2.363996908024732,1.0753896109910275,-5.9764230735751465,2.7186936084361992,0.18681458210586213,0.08498253956945219,0.968793352257909,0.4678520642494082,,,,,,,,,4.17020999079994,1.4618274309899986,0.7923196684768128,0.3582967605905207,2921.8146183499994,,1.01,1.01075262938875,0.1928322295672906,,0.04377440415396551,0.056445689400750454,0.017222948285295865,,,
114249.08+544709.7,10.059709151326013,3.4070195877220923,-3.0886814644103633,1.0460738070238498,0.15214911065488101,0.05152981984447796,0.2560293458724221,0.08927136807286552,549.6112463477635,301.58473162815704,-1.8224207332923323,1.000005497368938,0.14796952871814756,0.08119439131595017,0.3390603654304489,0.19645384763999407,141.14551442419807,75.40186188645441,0.2975448556514355,0.1078928767460566,3080.092399809997,2547.655861860003,0.4819724,0.4810635719218181,0.5942643415989354,0.4364105740589736,0.036935276403594286,0.043817120974439086,0.014601628591582164,0.03285107468932269,0.06033748423642693,0.020023913420455647
125121.56+611941.5,2.757303328293115,1.5957112425240987,-2.2173714825603814,1.2832409721727185,0.09112644404787085,0.052736849720645886,0.41253878534896615,0.2507790884040981,1.7803018210676729,1.1263410133708045,-3.4348280437634164,2.1731077583500853,0.1375665505761428,0.08703403330168749,0.5805203318111813,0.38015612648290215,2.547451168921146,0.797811192027251,0.49652955858007375,0.22771079886737625,1991.9040746699975,4384.4470019299915,1.573117,1.5697835439829515,0.2208918222580868,0.23697111545937616,0.02043767347019379,0.03184334412856337,0.005807197438502963,0.02998015652864841,0.03995354005141632,0.023191803713913745
130200.46+285847.0,1.9585601067755134,1.528118850636076,-1.695010239427643,1.3224904816196337,0.12991828275007922,0.10136557781701974,0.25602989749959765,0.20347015588009468,10.43314718173044,2.4752879973575994,-4.6076717168971255,1.093180638395619,0.12478707458077143,0.029606018448205162,0.27585072787290094,0.06749768470540125,4.673597311207681,0.8443275013905114,0.2659403126862493,0.107186801629748,1619.1883724500003,2177.801343979998,1.776174,1.7742836766970256,0.5074340302397042,0.45237174301844674,0.03863495415969803,0.04866925528776768,0.015467168329547705,0.032042091686758256,0.04679433578429377,0.017711036497620007
162818.98+313536.1,1.5760361032414858,1.0299827868141398,-6.3882806283661715,4.17491646988444,0.10843641673708349,0.07086617018054915,0.4236382833893866,0.2782809358065344,2.3521988714671873,1.5970650780677889,-1.88895575636993,1.2825383555395626,0.12927990574398016,0.08777677145590207,0.5776111034128497,0.43011647609905007,3.051367839861194,1.1907537940486368,0.5006246934011181,0.25614471605189576,3632.545805199996,890.9196013300025,1.2531524896621704,1.2552437913351888,0.2559646306502812,0.22381824895699218,0.02072131466567856,0.05005353386551732,0.01129273649467007,0.020805440084228632,0.040044649940807656,0.014595449330523329
