Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,W1 Gap,W2 Gap,W1 Epochs,W2 Epochs,W1 2nd lowest Flux,W2 2nd lowest Flux,W1 median_abs_dev of Flux,W1 Median Unc,W1 median_abs_dev of Uncs,W2 median_abs_dev of Flux,W2 Median Unc,W2 median_abs_dev of Uncs
114338.55+564817.9,1.878444483,1.112479954,-3.853581071,2.282224326,0.152285105,0.090188519,0.840771031,0.530648457,,,,,,,,,2.866012777,1.269464407,0.840771031,0.530648457,1459.259418,,20,8,0.181125537,,0.026563446,0.043001638,,,,
122523.45+580846.3,4.023616725,1.738328258,-2.829756756,1.222543415,0.147749235,0.06383229,0.357063632,0.160707535,3.824091818,1.742946281,-2.678804093,1.220946529,0.119945836,0.054668967,0.444109308,0.21539116,3.339067348,0.751871403,0.40058647,0.13436914,940.2092831,1654.979587,23,23,0.413789648,0.270081789,0.03578366,0.051022429,0.007885825,0.02459752,0.042109099,0.010743263
095209.81+331752.0,3.085678633,,,,0.141064981,,0.566030392,,2.794603252,,,,0.268978263,,1.405470457,,2.940140943,,0.985750425,,3844.528703,4748.447615,23,14,0.249218033,0.191379521,0.024298321,0.03949395,,0.050181072,0.074010147,
160344.93+450146.4,3.656142535,1.312089255,-4.304090675,1.544620067,0.17707636,0.063547848,0.394440005,0.146096216,2.382837995,,,,0.092240631,,0.341528511,,3.447690402,,0.367984258,,2921.87621,2356.556069,25,24,0.448931036,0.270081789,0.031509485,0.0515989,0.005439887,0.016155483,0.043490349,
112934.69+503103.4,10.18764061,1.293154209,-12.42535822,1.57719583,0.294085833,0.037329383,1.213093154,0.194261061,2.116084018,1.116605094,-4.259456879,2.247609836,0.306037833,0.16148858,1.396625321,0.867653699,7.247134932,0.808484361,1.304859238,0.44456729,930.3731987,1094.635942,23,18,0.242426422,0.219126654,0.038420401,0.049074416,0.01392067,0.029822406,0.06009398,
095656.19+021315.1,5.722567257,1.990218274,-3.325630478,1.156601618,0.162436789,0.056492943,0.58197522,0.226580347,2.553941769,1.240896237,-3.476042749,1.688921972,0.146025459,0.070950107,0.517050847,0.262731081,3.769545563,0.778258351,0.549513034,0.173469215,1981.828093,4748.751635,23,23,0.279112896,0.28241992,0.020492372,0.04154334,,0.028533741,0.049072132,
144102.63-013845.8,2.810201884,1.212546348,-4.097929741,1.768175366,0.200037505,0.086312214,0.290624156,0.12708112,4.580634765,2.145476436,-2.413178053,1.130283665,0.256098626,0.119951403,0.377843301,0.18660077,3.475486111,0.809217333,0.334233729,0.112882083,4176.747276,2385.884815,25,25,0.688303092,0.677790568,0.040503456,0.057536708,0.011336923,0.044248933,0.064841803,0.014992094
135652.64+040036.9,4.173977012,1.311810483,-4.916189134,1.545075218,0.261290663,0.082119243,0.296581543,0.09491225,3.976761905,1.801398244,-2.654104207,1.202259218,0.238015098,0.107816357,0.255451925,0.118298127,3.930258065,0.741559465,0.276016734,0.07583334,4178.403076,3286.467185,25,25,0.881007835,0.931741259,0.036699682,0.053149026,0.016070675,0.048930333,0.066870802,0.018977498
114302.72+550813.1,2.154670447,1.110738405,-4.456711451,2.297446729,0.149795698,0.077220085,0.70294267,0.37895114,2.224044382,,,,0.252037402,,1.279291713,,2.945142093,,0.991117191,,2743.996136,4906.565401,20,13,0.213098029,0.197013238,0.028257403,0.044649295,,0.027519993,0.064877108,
123401.05+623314.7,1.309713619,1.143742376,-2.35937861,2.060390346,0.093950659,0.082044921,0.375941495,0.33372112,3.72797171,1.147121108,-6.632951843,2.041002362,0.166837599,0.051337013,0.684224551,0.222056237,3.507503945,0.830471721,0.530083023,0.200423775,1078.26919,1826.659748,23,23,0.24990766,0.243834569,0.018506734,0.039062598,,0.023677434,0.038571804,0.005760183
123731.71+542544.3,1.405167094,1.281438522,-1.753605161,1.599195723,0.104776294,0.095550472,0.558834972,0.539848361,,,,,,,,,1.579386128,1.024635502,0.558834972,0.539848361,3115.477329,,10,5,0.187490582,,0.034859161,0.05987564,,,,
131244.36+272802.5,3.204635057,1.063392225,-8.860733757,2.940252234,0.201594095,0.066894854,0.93820569,0.326789434,3.104327713,,,,0.22355557,,0.978791655,,5.056565509,,0.958498673,,1462.115683,1286.610104,24,23,0.21487196,0.228399547,0.029328722,0.041492735,,0.032571255,0.0404546,
142741.21+332937.3,3.353962294,,,,0.155061607,,0.828942975,,1.524937791,,,,0.170519186,,0.816353131,,2.439450042,,0.822648053,,3809.683861,4540.581755,24,19,0.187059438,0.208879197,0.024320916,0.040115243,,0.035488055,0.058062331,
142030.56+513909.1,2.585021584,,,,0.180581608,,0.953441798,,,,,,,,,,2.585021584,,0.953441798,,3288.430383,,14,8,0.189399719,,0.038348314,0.061224967,,,,
165002.32+355533.7,1.939128367,1.393661358,-1.9976243,1.43570268,0.093835282,0.067439892,0.31462036,0.231484983,2.433343183,,,,0.135094118,,0.483883752,,2.123365283,,0.399252056,,2009.486527,4748.724974,23,23,0.298249237,0.279187135,0.01404541,0.04793732,0.011960417,0.020566148,0.04500237,
114639.33+565414.5,2.463651326,1.161137015,-4.17484576,1.967635555,0.091584643,0.043164517,0.361445926,0.173202467,2.675958571,1.49028576,-2.421754708,1.348715409,0.10391318,0.057870975,0.44012425,0.257833453,2.934052591,0.760748552,0.400785088,0.155303883,2381.429769,1826.526394,23,22,0.253384079,0.236099647,0.021140647,0.033541911,,0.021053856,0.040270748,
122133.20+330701.3,5.462088858,1.593906333,-4.400708864,1.284182281,0.268845594,0.078452531,0.63230017,0.205666696,2.929660541,1.342767112,-3.269287922,1.49843036,0.177301168,0.0812634,0.427578976,0.203797103,4.015436546,0.717546975,0.529939573,0.144768824,4540.636551,1303.797735,24,24,0.425186654,0.414662969,0.022942621,0.055146267,0.015079667,0.01925654,0.057720328,0.012737828
