Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux,W1 Mean Unc Counter,W2 Mean Unc Counter,W1 min mjd,W1 max mjd,W2 min mjd,W2 max mjd,Redshift
114338.55+564817.9,1.8773165173428703,1.112614578879816,-3.848841763802999,2.2810631125058234,0.1521936608694381,0.0901994332506587,0.8398421596620091,0.5304070825609198,,,,,,,,,2.8630791405729346,1.2689720371594744,0.8398421596620091,0.5304070825609198,55327.5148802,60267.033465455,,,20,8,0.1812169812130982,0.0395427170586138,0.081069792687304,,,,0.0268431507958554,,13,5.0,2542.592463605004,4001.851881920004,,,0.73048996925354
122523.45+580846.3,3.878197704422375,1.763696625905587,-2.669465576436811,1.2139988182562116,0.1471688129265349,0.0669282895250745,0.3551627489331436,0.1682883600046715,4.205867181413355,1.9790442074335923,-2.462725054675534,1.1588197020333315,0.119945378104238,0.0564395392214585,0.4441068579366607,0.2237923134391728,3.304063879237019,0.7843746711455608,0.3996348034349022,0.1400035460868035,55332.8740775,60430.22165964,55332.8740775,60429.869187585,23,23,0.4143700694079215,0.0551304404243246,0.0379477334945342,0.2700822470103463,0.048704331763109,0.0285185843800067,0.0358590289263467,0.0245975199230102,1,6.0,4574.789104194992,3634.579821109997,0.0,1654.9795866999991,0.7320503
095209.81+331752.0,2.5993899450872324,,,,0.1410649809166672,,0.566030391953641,,2.7946032524505724,,,,0.268978262821925,,1.4054704571157886,,2.6969965987689024,,0.9857504245347148,,55320.4972836,60414.99954207,55320.4972836,60414.8710581,23,14,0.2492180330278461,,0.0542684952610806,0.1913795209711515,,0.0962491769041131,0.0242983207432096,0.0501427067724868,12,11.0,0.0,3844.5287033799978,191.0481709999949,4939.495785539999,0.73179704
160344.93+450146.4,3.516154824674532,1.295890951355265,-4.266055680402223,1.5722694903580343,0.1770573192287719,0.0652550838346615,0.3943808644384494,0.1498532841994875,2.494367266224567,,,,0.0922504664209619,,0.3415649267299261,,3.425525923767107,,0.3679728955841878,,55225.34229325,60499.98780242,55225.34229325,60338.65056692,25,24,0.4489500764213804,0.0415037525276927,0.0503553819605088,0.2700817888538771,,0.036983513883499,0.0315339484342716,0.0157997522590929,0,2.0,4748.849890080004,1826.973679900002,366.8097404500004,2723.3658093150007,0.7304642200469971
112934.69+503103.4,11.136377128400513,1.4934479179230735,-10.03975508751177,1.3463850190259825,0.2942115144845507,0.0394553424933315,1.2136115844431472,0.2191110682175799,2.116084017610336,1.1166050944353547,-4.259456879252347,2.247609835582956,0.3060378331960742,0.1614885802231034,1.3966253209319044,0.8676536986188181,6.887918278193741,0.8039626939780301,1.305118452687526,0.4474462540189503,55330.12676425,60427.42843678,55330.12676425,60427.71698458,23,18,0.2424264223050792,0.0293046505537285,0.0264189611300284,0.2191266538056671,0.0718490272050347,0.1446246135073967,0.0385655001316466,0.0283460263014531,5,8.0,3112.7076184499965,2182.3344197599945,2906.563786499996,4001.1997286199994,0.7314494252204895
095656.19+021315.1,5.781768939435839,1.8824957542912903,-3.625100750725256,1.180302575838381,0.1624367893359068,0.0528880640974543,0.5819752202588846,0.2112683543055431,2.402525114994744,1.2129076670478671,-3.50018209588155,1.7670565330043146,0.1455574042191784,0.0734842231080749,0.5145407975969517,0.2705529207148095,3.827394225259347,0.7717892456441793,0.5482580089279181,0.1716342043695592,55331.96946965,60429.215752785,55331.96946965,60429.24803292,23,23,0.2791128963594856,0.0448089033948667,0.028094652525453,0.282887974868022,0.0415856661830385,0.0605851748690239,0.0224150396501506,0.0285337407406091,6,9.0,4365.826858430009,2383.9987650600087,190.3940538500028,4939.145688650009,1.121638
144102.63-013845.8,2.8007458772713427,1.2255363312751943,-3.9531937978953,1.72981871122579,0.2000302063399484,0.0875282142558806,0.2906104702694474,0.1289459329526542,4.444888747867108,2.2306609003508022,-2.2291844567575354,1.1187129508572904,0.2560986258202041,0.1285227198374368,0.3778433011587184,0.2001434482204135,3.357003219947821,0.818595550002869,0.3342268857140829,0.1190424855782461,55224.1604046,60498.6056137,55224.1604046,60498.6056137,25,25,0.6883103907250311,0.0505996458980699,0.0714203341200059,0.6777905682986459,0.1148844480069239,0.0576164309946101,0.0416193420396917,0.0437869988990976,4,3.0,366.7113084500015,4543.458584020002,2362.8544809000014,4748.739295920001,1.125569
114302.72+550813.1,2.1546704467805275,1.10378055025628,-4.611292305410631,2.362242804167046,0.1497956976104351,0.076736364849446,0.7029426695757064,0.3757042156365634,2.223929167936214,,,,0.2520243458063064,,1.2791406687534688,,2.9966306400424574,,0.9910416691645876,,55328.8376675,60426.30627047,55328.8376675,60426.30627047,20,13,0.2130980293184525,0.0324845374548634,0.0695213961068883,0.1970262942635589,,0.113323908620787,0.0341255696494281,0.027638263887051,13,9.0,4208.894717989999,1464.8985818799993,190.90320199999405,5097.468602969995,1.1219321489334106
123401.05+623314.7,1.3196800954301295,1.125740311160922,-2.5525619836332227,2.1774382531519683,0.0939588635045847,0.0801506975851618,0.3759743241331458,0.3254671783125404,3.5769027221064844,1.1418757857687682,-6.488672409683063,2.07141722379287,0.1668375987623256,0.0532605522104645,0.6842245514128432,0.2300369387985006,3.4844543027132246,0.8515859549838828,0.5300994377729945,0.1992773678635585,55328.9387733,60426.372231515,55328.9387733,60426.24387492,23,23,0.2499076598414485,0.036809630522996,0.0711982122257896,0.2438345692475161,0.0257121315776942,0.0466430349730262,0.0185281071231171,0.0237643375925911,3,12.0,1464.8650924499962,2543.134282744999,3270.645353619999,5097.305101619997,1.122894
123731.71+542544.3,1.4051670941051486,1.2814385221625904,-1.753605161263635,1.5991957225111408,0.1047762942319106,0.0955504723968189,0.5588349715803688,0.5398483608513585,,,,,,,,,1.579386127684392,1.024635501651706,0.5588349715803688,0.5398483608513585,55340.9441707,60277.69484159,,,10,5,0.1874905823012586,0.059749079522787,0.0745650070169308,,,,0.034656957334906,,6,2.0,1821.2733420000004,4936.750670889996,,,1.718056321144104
