Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux,W1 Mean Unc Counter,W2 Mean Unc Counter
114338.55+564817.9,1.8773165173428705,1.1126145788798159,-3.848841763802999,2.2810631125058234,0.15219366086943814,0.09019943325065877,0.8398421596620091,0.5304070825609198,,,,,,,,,2.8630791405729346,1.2689720371594744,0.8398421596620091,0.5304070825609198,55327.5148802,60267.033465454995,,,20,8,0.1812169812130982,0.03954271705861382,0.08106979268730405,,,,0.026843150795855433,,13.0,5
122523.45+580846.3,3.878197704422375,1.763696625905587,-2.669465576436811,1.2139988182562116,0.14716881292653494,0.06692828952507456,0.35516274893314365,0.16828836000467154,4.205867181413355,1.9790442074335923,-2.462725054675534,1.1588197020333317,0.119945378104238,0.05643953922145852,0.44410685793666077,0.22379231343917283,3.304063879237019,0.7843746711455608,0.3996348034349022,0.14000354608680354,55332.874077500004,60430.22165964,55332.874077500004,60429.869187585,23,23,0.41437006940792154,0.055130440424324606,0.037947733494534286,0.27008224701034633,0.04870433176310901,0.028518584380006765,0.03585902892634679,0.024597519923010236,1.0,6
115412.54-000153.2,11.096922566349246,1.8350375225768492,-7.212239737640988,1.1926487241178514,1.085127771802541,0.17944165746332397,0.3298374348748806,0.05659085775387671,7.034759357134669,1.0953341116659863,-15.739772183350658,2.450731930835734,1.016936612471536,0.15834022238620318,0.324931503980532,0.0510356014523643,10.27092346111889,0.865867249546729,0.32738446942770627,0.038102354904008484,55361.209444349995,60458.256383905,55361.209444349995,60458.256383905,24,24,3.289886644353057,0.15045642009641091,0.0977863696276593,3.12969533582827,0.06460936032779682,0.14455883433171834,0.17450742399759211,0.18474782352951769,6.0,5
122029.31+331025.4,1.873803385792842,1.128790940809552,-3.578613985056474,2.1557795645016005,0.25982189480394285,0.15651834301418383,0.5913869531948022,0.3694170620491847,6.41985400202852,2.249958158732703,-3.185213362081129,1.1163177214083662,0.18379520979230002,0.06441447604221344,0.5991337191481546,0.23830868023619026,3.7643711837397413,0.8742865480619986,0.5952603361714783,0.21980672920145436,55352.6161265,60449.51960387,55352.6161265,60448.590414965,24,24,0.43934329866482164,0.07260405729394215,0.13866016935069592,0.3067682621061942,0.05770263680930102,0.028629188410550323,0.027144963552699852,0.027856249344767436,1.0,7
082740.47+321212.8,2.7235483293790255,1.5638292759538015,-2.2652530507108626,1.3006815410369452,0.1510048345024895,0.08670519206809651,0.7197994285996512,0.47236692602653435,2.178342097477894,,,,0.31437023890108723,,1.6880304577238165,,2.3890478258559273,,1.2039149431617338,,55301.9065582,60399.76584733,55301.9065582,59146.65188919,20,12,0.20978737757025592,0.06666135355390093,0.05544415455147032,0.18623493282520037,,0.14431628496968782,0.01672753365559529,0.05696641032652708,14.0,9
144102.63-013845.8,2.8007458772713427,1.2255363312751943,-3.9531937978953002,1.72981871122579,0.2000302063399484,0.08752821425588064,0.2906104702694474,0.12894593295265422,4.4448887478671075,2.2306609003508022,-2.2291844567575354,1.1187129508572904,0.25609862582020415,0.12852271983743688,0.3778433011587184,0.20014344822041355,3.3570032199478215,0.818595550002869,0.3342268857140829,0.11904248557824613,55224.1604046,60498.6056137,55224.1604046,60498.6056137,25,25,0.6883103907250311,0.05059964589806992,0.07142033412000592,0.6777905682986459,0.11488444800692399,0.05761643099461011,0.041619342039691753,0.04378699889909765,4.0,3
095656.19+021315.1,5.781768939435839,1.8824957542912903,-3.6251007507252564,1.180302575838381,0.16243678933590688,0.052888064097454376,0.5819752202588846,0.21126835430554314,2.402525114994744,1.2129076670478673,-3.50018209588155,1.7670565330043146,0.14555740421917845,0.07348422310807491,0.5145407975969517,0.2705529207148095,3.827394225259347,0.7717892456441793,0.5482580089279181,0.17163420436955926,55331.969469649994,60429.215752785,55331.969469649994,60429.24803292,23,23,0.27911289635948566,0.044808903394866734,0.028094652525453016,0.282887974868022,0.04158566618303858,0.060585174869023956,0.02241503965015068,0.02853374074060916,6.0,9
124754.90+565715.4,3.0862364793870496,,,,0.2112574875095038,,0.760719836535745,,1.518665161919709,,,,0.1816539658212305,,0.758140378991544,,2.3024508206533794,,0.7594301077636445,,55339.8863761,60434.96990243,55339.8863761,60434.90578778,23,23,0.2777073468618261,,0.06845149064904488,0.2396046574683982,,0.11961423121842474,0.009877990741859854,0.017303568202859998,2.0,5
114302.72+550813.1,2.1546704467805275,1.1037805502562799,-4.611292305410631,2.362242804167046,0.14979569761043518,0.07673636484944603,0.7029426695757064,0.3757042156365634,2.223929167936214,,,,0.25202434580630645,,1.2791406687534688,,2.9966306400424574,,0.9910416691645876,,55328.8376675,60426.30627047,55328.8376675,60426.30627047,20,13,0.21309802931845254,0.03248453745486343,0.06952139610688836,0.1970262942635589,,0.11332390862078703,0.034125569649428145,0.02763826388705104,13.0,9
160557.96+430039.8,9.336089639698047,2.039540876553618,-5.252187637947152,1.1473809477336236,0.24079281060078395,0.05260304891592877,0.2564546650398003,0.057406885971264476,4.674655037735103,1.3526900732345513,-5.13181024987752,1.484975624232577,0.35833728018085775,0.10369092004815904,0.45203737343335243,0.13673079921648473,6.0986856413144555,0.7710031235810363,0.3542460192365764,0.07414658119444285,55227.890011,60502.476620685,55227.890011,60502.41307916,24,24,0.9389293447378477,0.045846193472040386,0.025791612965765376,0.7927160479214013,0.06982668156707666,0.07665534189972534,0.033560593601545896,0.022120056617674688,0.0,0
130231.14+322126.6,1.9247714064939323,,,,0.20699299897168047,,1.1359945656356452,,2.527448037750312,,,,0.3275933342969769,,1.6261350684005857,,2.226109722122122,,1.3810648170181155,,55362.1751731,60458.99952767,55362.1751731,60300.10749094,23,12,0.18221301864754755,,0.1075416011861526,0.20145518085357275,,0.12961427076007015,0.03739352916458788,0.06999760842252375,17.0,9
