Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,W1 Gap,W2 Gap,SDSS Redshift,DESI Redshift
163004.62+431007.6,6.094505879782053,1.3549226158406624,-6.666276809383331,1.482037984810446,0.1058200969815265,0.02352578624730933,0.18347994045322086,0.04120106211294777,4.006957179068801,1.4330833798891793,-3.903466409787594,1.396070031654869,0.08290483738245324,0.0296508146345651,0.13411720778503142,0.04816390178056262,5.1678015695054444,0.7086515094854862,0.15879857411912612,0.031691043505865595,1824.5573648699938,1095.391182139996,1.355846,1.354261073661872
141542.16+522206.9,8.105553922506749,1.3453571628639105,-9.006249437151961,1.4948543068928506,0.1626927968380047,0.027003696683160314,0.4421694433786506,0.07560153602272116,3.850667011149538,1.306822483529045,-4.577046093782878,1.5533378311303614,0.1206119520033434,0.04093275533924743,0.4137090025661468,0.1442186467297145,6.384879116147782,0.7143711708376436,0.4279392229723987,0.08141653749936954,2191.0543849800015,1826.6646171350003,1.002,1.0026246068769389
155601.81+433309.0,2.966060346060315,1.037468669908982,-10.734958623380763,3.75487412429751,0.153874342786449,0.05382217187719002,0.7412874009796567,,2.559801702353475,,,,0.4287654557992916,,2.240394593581267,,5.420273557264852,,1.490840997280462,,2921.9397193200057,3815.1692557600036,2.184,2.186224848578294
101426.13+324355.1,11.974355753324945,1.2764720276229424,-15.093689052871612,1.6089944433360783,0.3571694475507231,0.03807443325654011,0.4484300365395213,0.049145345370543284,6.370049446152252,1.2589312149864347,-8.329119546793395,1.646107880237206,0.22679655101574436,0.04482245545165266,0.3927726334993392,0.07939378701014528,10.441803449785551,0.729418557544143,0.42060133501943026,0.046686824660181946,3286.4127750199987,1821.661011239994,1.08377,1.081078578275372
075946.18+344717.9,2.8692999002995894,,,,0.23760415350638805,,1.180523684347206,,,,,,,,,,2.8692999002995894,,0.7866481589232726,,3478.3419710699964,,1.6266732,1.6322050645391557
143002.78+021543.6,12.804571546571662,1.9479544017029466,-7.659685646381319,1.1652649459031912,0.2226307760345716,0.03386873184735338,0.5338331502303522,0.0876315127661123,3.6202075255039734,1.1739952075716142,-5.88620702106517,1.908835000430782,0.19274192222700182,0.06250417728777592,0.48605001145925214,0.16345818375002785,7.492667934880531,0.7974288585641728,0.5099415808448021,0.09273330020081133,2190.1410592900065,2716.3246140949996,1.020913,1.0218170609368005
105856.77+305337.5,4.572022391397143,,,,0.1283150908526568,,0.5441242207055027,,3.6374456303716856,1.6076023934199841,-2.889788690591982,1.277168564853289,0.2020110999609476,0.08928065483179158,0.8269514524937672,,3.6997522374536036,,0.685537836599635,,3447.0539225899993,1824.4297571150018,1.332636833190918,1.3348114921804164
142159.83+533747.5,3.6354816316597236,,,,0.22462773736610311,,1.164886896086617,,,,,,,,,,3.6354816316597236,,0.995919174290192,,3841.582446970002,,1.01,1.01075262938875
114249.08+544709.7,5.551893391691924,1.2768967922762342,-6.992145921696433,1.6081448379218013,0.18904139578095125,0.04347820371359056,0.3181099429124655,0.07516863978679658,4.628286718777447,1.2211403057178591,-6.60386681519595,1.7423829662304422,0.2142334942285608,0.05652397323957785,0.4908989537902689,0.1330983469955382,5.944048211840439,0.7392427411344064,0.40450444835136723,0.0764288793263742,1811.121688365005,2190.70826349,0.4819724,0.4810635719218181
125121.56+611941.5,4.126071683498149,,,,0.12610160948233723,,0.5708749567695718,,2.5063485703756565,,,,0.17521771686544432,,0.7394053765826233,,3.3162101269369026,,0.6551401666760975,,2016.967025845006,5097.438183304999,1.573117,1.5697835439829515
130200.46+285847.0,3.1422025222515226,1.094209623277618,-7.074185827635084,2.463444718994735,0.17366306570222556,0.06047471362956843,0.34223772028097865,0.1204211254123207,5.047719005982117,1.735324987689113,-3.55918893194877,1.2235921774166818,0.15313691065707669,0.05264601838688045,0.3385200623612605,0.11944344922053618,4.705824071954373,0.8578456013740873,0.34037889132111954,0.0848056380897943,1825.3694305799945,1983.656504080005,1.776174,1.7742836766970256
162818.98+313536.1,6.553102014481747,1.1300472395837535,-12.450928584804059,2.147095748916861,0.16569367482039854,0.028572984127744804,0.6473303534142658,0.12560519268373393,2.544287092177327,,,,0.19572745746033413,,0.8744928457462116,,7.182772563821044,,0.7609115995802387,,2012.347998410005,5097.302365110001,1.2531524896621704,1.2552437913351888
120010.95+571020.3,7.131321534595272,1.325729699179775,-8.193354008257339,1.5231640716164783,0.17048725891354122,0.03169398846721064,0.3567074429492738,0.06885256992286562,6.484409556951276,1.4146816933281638,-6.480120186258255,1.4137458958369629,0.1551540288993768,0.03384942952820747,0.29543892007088884,0.06542283814109147,7.0723013215155355,0.7105275230323719,0.32607318151008136,0.047489009611220975,2537.2594840349993,4539.480862235003,1.507276,1.503940622488288
114249.49+531937.6,2.4532223082214584,,,,0.15004103249033268,,0.7021509807547521,,2.0372164445805274,,,,0.2302661482423406,,1.0743222619747816,,2.2452193764009927,,0.8882366213647669,,2016.7651831299954,2384.4524667299993,2.253,2.246877354350348
154351.25+435220.8,4.360057632074836,,,,0.09448617202725218,,0.3728970356190549,,3.2261320556003175,,,,0.3161347577859436,,1.5565993409654881,,3.7930948438375767,,0.9647481882922715,,2193.4332022200033,1820.599021889997,0.7597995,0.7600327324994309
115838.31+541619.5,27.54044268968238,1.3180719574828716,-32.0733829354441,1.5350162343126117,0.7576016295071135,0.036258439054458455,0.6037559035623848,0.03105625095485253,18.674315023518055,1.3686744448417194,-19.983450360637267,1.4646233499821641,0.5763158627228747,0.04223923568132606,0.6521765818685433,0.05155508716956314,24.56789775232045,0.7120384390072353,0.6279662427154641,0.0300932622709471,2537.112666424997,2384.6257732100057,0.6103,0.6102552258401017
