Object,W1 Z Score SDSS vs DESI,W1 Z Score SDSS vs DESI Unc,W1 Z Score DESI vs SDSS,W1 Z Score DESI vs SDSS Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score SDSS vs DESI,W2 Z Score SDSS vs DESI Unc,W2 Z Score DESI vs SDSS,W2 Z Score DESI vs SDSS Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,Median UV Flux Diff On-Off,Median UV Flux Diff On-Off Unc,SDSS mjd,DESI mjd,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux,W1 Mean Unc Counter,W2 Mean Unc Counter
114338.55+564817.9,1.0744527790527674,1.0993883009846148,-2.3521949535014266,2.406783866103732,0.05885632965881418,0.06022224664246167,0.32478374413269445,0.33979395495645964,,,,,,,,,1.713323866277097,1.3229950126964827,0.32478374413269445,0.33979395495645964,,,57430,59307.35829040001,55327.5148802,60267.033465454995,,,20,8,0.1812169812130982,0.03954271705861382,0.08106979268730405,,,,0.026843150795855433,,13,5
122523.45+580846.3,-1.1980116540086554,1.4395085343527005,1.1569809696445426,1.3902068267150172,7.06700697698249e-10,8.491584219282458e-10,0.10225812860277153,0.12362239010767356,-1.3425735994543242,1.0892791996922604,3.108599110133158,2.5221204649236206,1.127773888555068e-09,9.150043165293795e-10,0.25036677520325124,0.2080887786906844,1.7015413333101699,0.849723508559845,0.17631245190301137,0.12102007597183459,,,58135,59309.26965074,55332.874077500004,60430.22165964,55332.874077500004,60429.869187585,23,23,6.910948863962441e-09,9.194767739007721e-10,6.329000693962473e-10,4.504487017654501e-09,8.123008178396025e-10,4.756387897524556e-10,5.980642269250619e-10,4.1024247386187143e-10,1,6
160344.93+450146.4,1.5126470157157805,1.405369732586196,-1.531866838503697,1.4232264810087794,2.200613140491019e-09,2.0445451375277306e-09,0.13358991387875144,0.1247285979273042,1.2139069059826095,1.3976211944005743,-1.2432553445703851,1.4314112647846262,1.3514977571806662e-09,1.5560352283287862e-09,0.13637917082486858,,1.375419026193118,0.7072358567649144,0.13498454235181,,,,57897,59311.38455027,55225.342293249996,60499.98780242,55225.342293249996,60338.65056692,25,24,1.6472898863370286e-08,1.5228577825150653e-09,1.8476422164215894e-09,9.909854628139608e-09,,1.3570009580377434e-09,1.157045227525331e-09,5.797253073325245e-10,0,2
112934.69+503103.4,3.694256482149301,1.8654407387083836,-2.345917100763733,1.1845873047913806,1.0610639700062524e-09,5.357916987056989e-10,0.6560732378896886,0.3406490637164757,-1.388660146404262,1.074318658511207,3.53679024370315,2.7361912559306316,1.149475568980959e-09,8.892766559598012e-10,0.7863126193250844,0.6607012985270971,2.7414059932551114,0.9193754470210453,0.7211929286073866,0.37167458565467715,,,57064,59308.27622285,55330.12676425,60427.42843678,55330.12676425,60427.71698458,23,18,1.617295004166377e-09,1.9549958494104972e-10,1.762483373082616e-10,1.4618556802097212e-09,4.793251150102964e-10,9.648315669595449e-10,2.572813231455386e-10,1.8910433231414504e-10,5,8
142741.21+332937.3,-1.603284364727385,,,,2.7715209538808356e-09,,0.27761262633648803,,,,,,,,,,1.603284364727385,,0.27761262633648803,,,,55269,59311.33460277,55209.1674089,60480.94634279,,,24,19,9.983411022960955e-09,,2.0766131711808324e-09,,,,1.2957255319928636e-09,,9,12
142030.56+513909.1,1.890260349503173,1.5236711637247595,-1.6442805210834033,1.3253956343672952,7.371380598666738e-10,5.941805877682782e-10,0.5833916553121411,,,,,,,,,,1.767270435293288,1.0097335543060664,0.5833916553121411,,,,57835,59231.5316127,55364.329408100006,60301.65248407,,,15,8,1.2635389161887675e-09,,7.730447600856135e-10,,,,2.656593554463357e-10,,11,5
161501.19+424846.9,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57898,59312.44716139,55231.1652746,60506.114304015,55231.1652746,60505.92316997,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
141945.05+512241.4,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57835,59231.53161272,55364.4947561,60460.79652068,55364.4947561,60302.33036849,24,23,0.0,,,0.0,,,0.0,0.0,0,0
153722.08+425656.6,,,,,0.0,0.0,,,,,,,,,,,,,,,,,57903,59338.37569314,55219.718723800004,60332.10692197,,,22,11,0.0,,,,,,0.0,,0,0
115634.41+524502.1,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57423,59308.26450978,55333.0712601,60430.4776089,55333.0712601,60272.00970816,23,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
162510.77+325758.8,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58256,59308.48025929,55241.85280685,60517.781809039996,55241.85280685,60518.35540253,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
144939.94+350619.8,,,,,0.0,0.0,,,,,,,,,,,,,,,,,58220,59354.27372677,55213.20308495,60118.89267338,,,22,9,0.0,,,,,,0.0,,0,0
083901.00+232352.4,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58511,59226.35471247,55306.1390192,60403.718801885,55306.1390192,60403.62234336,23,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
093053.11+314745.2,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58434,59294.18947309999,55316.7921275,60411.69002828,55316.7921275,60411.85072876,23,23,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
161251.11+542252.6,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,56809,59311.39483452,55217.66514195,60490.537615145004,55217.66514195,60490.537615145004,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
090952.01+315503.2,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58142,59251.15305477,55312.6240956,60407.57669897,55312.6240956,60407.57669897,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
160629.01+440654.6,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57897,59313.41259930001,55227.095866949996,60501.583536455,55227.095866949996,60500.68994351,25,23,0.0,,,0.0,,,0.0,0.0,0,0
121105.69+445944.3,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57787,59335.38730815,55343.6545497,60438.30291032,55343.6545497,60438.30291032,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
013332.08+245953.1,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57062,59225.08830371,55213.1813735,60513.72208515,55213.1813735,60513.72208515,25,25,0.0,,,0.0,,,0.0,0.0,0,0
162054.47+434307.5,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57905,59311.40505385,55233.580103,60507.741611004996,55233.580103,60142.50479057,24,17,0.0,,,0.0,,,0.0,0.0,0,0
020106.36-030041.4,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57332,59217.19524616,55210.0662913,60509.933151410005,55210.0662913,60509.933151410005,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
114749.54+530005.8,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57423,59308.26450975,56795.84165174,60428.68036037,56795.84165174,60428.68036037,21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
160534.46+433654.5,,,,,0.0,0.0,,,,,,,,,,,,,,,,,57897,59312.38316145,56691.764207715,60340.10133032,,,21,13,0.0,0.0,0.0,,,,0.0,,0,0
124822.42+584840.6,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58487,59308.28495262,56800.31807859,60432.98145566,56800.31807859,60432.98145566,21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
123807.76+532555.9,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58172,59309.27937448,55341.90321545,60436.6691005,55341.90321545,60436.6691005,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
093442.68+325334.5,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58224,59294.18947308,55317.1561871,60412.10744205,55317.1561871,60411.52920047,23,21,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
141658.28+521205.1,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57038,59312.31410948,55362.8410216,60459.70816339,55362.8410216,60459.547845035,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
145954.07+351733.9,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,55653,59348.45952601,55215.3202789,60488.29767852,55215.3202789,60488.201602185,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
121359.29-002000.4,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,55323,59310.21218797,55368.452981049995,60302.986605565005,55368.452981049995,60303.115790045005,23,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
123850.21+583400.6,,,,,0.0,0.0,,,,,,,,,,,,,,,,,58191,59307.31280329,55334.428872050004,60431.31320063,,,21,7,0.0,,,,,,0.0,,0,0
142653.5+511907.1,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57513,59314.25563001,55367.6699179,60303.58916917,55367.6699179,60303.13724638,23,16,0.0,,,0.0,,,0.0,0.0,0,0
140640.19-010806.2,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,55363,59341.22485925,55217.3123629,60490.59077858,55217.3123629,60490.71862571,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
155920.40+421207.2,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57843,59312.38316135,56690.77651031,60500.81715391,56690.77651031,60500.8809502,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
023044.93+011246.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,55179,59225.15787282,55217.0804798,60519.303559595,55217.0804798,60520.5459945,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
161003.12+543627.8,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,56804,59336.30977083,56677.73034728,60489.22807277,56677.697430379994,60488.87681084,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
142038.52+532416.4,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57428,59312.31410947,55362.01447305,60459.22797178,55362.01447305,60459.292214015004,24,24,0.0,,,0.0,,,0.0,0.0,0,0
