Object,W1 Z Score SDSS vs DESI,W1 Z Score SDSS vs DESI Unc,W1 Z Score DESI vs SDSS,W1 Z Score DESI vs SDSS Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score SDSS vs DESI,W2 Z Score SDSS vs DESI Unc,W2 Z Score DESI vs SDSS,W2 Z Score DESI vs SDSS Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,Median UV Flux Diff On-Off,Median UV Flux Diff On-Off Unc,SDSS mjd,DESI mjd,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux,W1 Mean Unc Counter,W2 Mean Unc Counter
075448.10+345828.5,1.0137565863493692,2.3224135307303264,-0.4836411034042585,1.10797272016569,0.03085257971269112,0.07068013125391065,0.15385515194584173,0.35354985622417784,0.6131824331796139,1.5365118994681404,-0.5256317291452879,1.3171274369061632,0.04932969094212297,0.1236102879474624,0.20899846414145448,,0.6590529630196323,0.8184169803120248,0.1814268080436481,,,,55488,59226.33155371,55294.82789935,60392.37221862,55294.82789935,59140.17778014,22,12,0.20053003960212837,0.036045444707706334,0.04392589384299295,0.23602896387188577,,0.04764850175143951,0.021182431400319723,0.010296535902419163,8,8
115103.77+530140.6,10.293596851041274,1.5475139144898995,-8.715881004260591,1.3103240127154443,8.34444560210655e-09,1.2544833321947781e-09,2.228784939494565,0.5454560122936231,,,,,,,,,9.504738927650934,1.0138723210836948,2.228784939494565,0.5454560122936231,,,57423,59307.38051703,55331.8143086,60429.12948142,,,23,14,3.7439438207972055e-09,7.230039485131659e-10,1.529693296070228e-09,,,,8.947751092103494e-10,,10,3
122319.70+312737.0,-1.6160262779894161,1.0849613420609452,3.839624313018339,2.5778318115254653,1.622946668587761e-09,1.0896075265775161e-09,0.5161492278192816,0.3827749592283519,,,,,,,,,2.7278252955038775,1.398423930920033,0.5161492278192816,0.3827749592283519,,,58488,59291.35192345,55354.3026495,60451.44138896,,,21,12,3.144336135975002e-09,9.904459092182444e-10,1.1264643657503423e-09,,,,6.913105004406382e-10,,14,8
140957.72-012850.5,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,55383,59338.32136563,55218.10643235,60491.48469058,55218.10643235,60491.48469058,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
141801.50+525200.7,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57428,59314.25562991,55362.1466495,60459.19562801,55362.1466495,60459.48398511,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
141923.44-030458.7,,,,,0.0,,,,,,,,,,,,,,,,,,55333,59368.20461079,55220.25704575,59398.70625142,,,9,5,0.0,,,,,,0.0,,0,0
144051.17+024415.8,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,55620,59379.18866325,55222.90249505,60497.29779046,55222.90249505,60497.329752285,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
152517.57+401357.6,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58175,59354.31774043,55218.46208765,60492.195935825,55218.46208765,60492.45169376,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
153149.94+372755.4,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58230,59351.33843032,55221.87016495,60495.45342876,55221.87016495,60334.525961305,25,22,0.0,,,0.0,,,0.0,0.0,0,0
161903.04+540529.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58248,59311.39483462,55220.3448454,60493.86005036,55220.3448454,60332.491482975005,25,24,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
164709.87+532202.2,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57190,59383.31718659,55233.346628800005,60509.62512196,55233.346628800005,60509.62512196,24,24,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
164900.95+452016.8,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58021,59354.40581205,56705.66206081,60518.80388603,56705.3985986,60519.185835615,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
213400.68+013828.4,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58040,59380.4539827,55333.8207705,60246.45328838,55333.8207705,60246.38866434,22,19,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
221925.57+272806.4,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57575,59392.42928187,55357.5319322,60471.11541227,55357.5319322,60266.88721763,23,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
