Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,Mean UV Flux Change DESI - SDSS,Mean UV Flux Change DESI - SDSS Unc,SDSS mjd,DESI mjd,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux
075448.10+345828.5,2.084822154,1.176962839,-3.358941706,1.896252666,0.090288902,0.050971582,0.315831062,0.180755014,1.308456382,,,,0.151173323,,0.640589629,,2.250740081,,0.478210346,,3.531577829,0.571919407,55488,59226.33155,"(15.971499919891357, 55294.82789935, 0.2869997024536133)","(16.00850009918213, 60392.565008345, 0.08568693043829403)",55294.8279,60025.3735,21,16,0.285877207,0.026880163,0.043307724,0.2359909,,0.115535623,0.021146273,0.014990896
085913.72+323050.8,2.04448117,1.100500523,-4.449769924,2.395216059,0.13886887,0.074750145,0.448771421,0.24576747,1.382543145,1.107994755,-2.89762779,2.322210635,0.166769872,0.133652352,0.595144342,0.492373854,2.693605507,0.920885307,0.521957881,0.275151622,0.366879815,0.205551892,52989,59226.37565,"(15.746000289916992, 55310.5733159, 0.08913809364676442)","(15.956000328063965, 60405.42385815, 0.26800060272216797)",55310.57332,60405.74526,23,23,0.30944232,0.031208101,0.06792377,0.280217521,0.057553932,0.120625438,0.023574055,0.027349599
095035.55+321601.0,2.125213941,,,,0.183336087,,0.914257472,,2.779063608,,,,0.161497641,,0.771739735,,2.452138775,,0.842998603,,,,56325,59280.39814,"(16.506000518798828, 55320.66244095, nan)","(16.09450054168701, 60415.03144024999, 0.17394970489565603)",55320.66244,60260.63944,19,13,0.20053004,,0.08626712,0.209264385,,0.058112251,0.026449717,0.039316974
103818.29+332437.2,3.669497029,2.395465204,-1.685766396,1.100476363,0.261977501,0.171020165,0.10866364,0.071281121,2.499217162,2.043653497,-1.40225896,1.146651628,0.144123132,0.117852,0.174356607,0.144213281,2.314184887,0.881781979,0.141510124,0.08043393,4.750875204,0.869765639,56416,59307.38052,"(13.723000049591064, 55329.660134749996, 0.034999847412109375)","(13.73199987411499, 60426.8793552, 0.03299999237060547)",55329.62703,60426.87936,23,23,2.410903041,0.155405578,0.0713933,0.826599773,0.102779255,0.05766731,0.032673769,0.028451421
113737.38+511839.9,1.741691113,,,,0.161252353,,0.799698745,,2.767963297,,,,0.229107745,,1.359390755,,2.254827205,,1.07954475,,1.993797646,0.29037844,57423,59307.38052,"(16.34000015258789, 55330.92084285, nan)","(15.862000465393066, 60428.16616928, 0.2770000100135803)",55330.92084,60428.16617,23,12,0.201641374,,0.092583784,0.168537077,,0.082771237,0.020418231,0.048453272
115103.77+530140.6,7.916916413,1.070981578,-20.64881426,2.793322364,0.691902793,0.09359896,3.13808995,0.638477804,4.636024907,,,,0.4426253,,2.156458313,,11.06725186,,2.647274132,,2.772756903,0.391665046,56416,59307.38052,"(16.145999908447266, 55331.8143086, 0.19299983978271484)","(16.08899974822998, 60429.41847489, 0.15050029754638672)",55331.81431,60062.09385,23,17,0.220485328,0.033508113,0.087395491,0.205255672,,0.095475177,0.04694115,0.075781592
115210.24+520205.1,4.821360757,1.521959703,-4.202251777,1.326525475,0.164083849,0.051796374,0.665711444,0.235123255,2.9782051,,,,0.286962964,,1.38781166,,4.000605878,,1.026761552,,1.591542593,0.236282197,51943,59312.22218,"(16.22249984741211, 55332.7734806, 0.23999977111816406)","(16.01099967956543, 60430.0282327, 0.14699935913085938)",55332.77348,60430.25279,23,20,0.246478937,0.039046649,0.034032684,0.206773708,,0.096354332,0.028124029,0.024300544
115403.00+003154.0,5.033252071,1.620719232,-3.946306677,1.270720209,0.314081618,0.101135034,0.412536924,0.139662867,4.440937477,1.339230804,-4.985290622,1.503388598,0.265846464,0.080169959,0.77827941,0.264286684,4.601446712,0.720033728,0.595408167,0.149460001,4.595827916,0.517567648,52367,59314.195,"(14.882499694824219, 55361.011116049995, 0.10499954223632812)","(14.942999839782715, 60458.09619286, 0.12599945068359375)",55361.01112,60458.19246,24,24,0.761341832,0.079588751,0.062401329,0.341582291,0.053326172,0.05986269,0.066591841,0.05387374
121033.30-011755.6,7.963166346,1.645976357,-6.090942458,1.258990061,0.507603335,0.104920964,0.678804755,0.159402581,9.062532843,1.221644621,-12.91468151,1.74092072,0.559334619,0.075399244,0.874130693,0.13185402,9.007830789,0.742357506,0.776467724,0.103434358,,,58488,59291.35192,"(14.51449966430664, 55364.7484746, 0.055129393847135146)","(14.54099988937378, 60302.922236165, 0.06099987030029297)",55364.74847,60302.92224,22,22,0.747789892,0.083337404,0.063743907,0.639875277,0.043309982,0.061719458,0.101047316,0.106961781
122319.70+312737.0,2.919786056,,,,0.197205574,,1.000781773,,1.982293392,,,,0.323651989,,1.587022564,,2.451039724,,1.293902168,,1.930779648,0.315794651,56312,59338.22264,"(16.524999618530273, 55354.3026495, nan)","(16.014999389648438, 60451.44138896, 0.3089999854564667)",55354.30265,59720.28701,23,17,0.197051525,,0.067541104,0.203936602,,0.163271487,0.027433539,0.030280677
125545.34+232348.0,2.486713353,,,,0.116137517,,0.523350753,,3.829686583,1.394422225,-3.940779871,1.434872259,0.246665014,0.089812879,1.237690973,0.595143735,3.419059936,,0.880520863,,1.867727517,0.235799039,54505,59337.25566,"(16.203499794006348, 55364.9518329, nan)","(16.039499759674072, 60302.72365239, 0.15049982070922852)",55364.95183,60302.62675,22,18,0.221911436,,0.046703218,0.199294508,0.062592944,0.064408669,0.025271926,0.070248269
125610.42+260103.4,5.045099603,,,,0.390843397,,1.787406753,,4.026275911,,,,0.316215782,,1.601357513,,4.535687757,,1.694382133,,1.910162436,0.433437395,53556,59370.16467,"(16.29199981689453, 55364.0923692, nan)","(15.744999885559082, 60461.04712159, 0.12800025939941406)",55364.09237,60460.85516,24,24,0.218665055,,0.077469907,0.197467324,,0.078538031,0.041586645,0.022666901
133044.43+072628.8,9.857500498,1.812700165,-6.51988468,1.198944503,0.862018937,0.158517047,0.846714525,0.19061611,7.817707076,1.265964459,-10.07026835,1.63073414,0.641261391,0.103842997,1.001704631,0.190370508,8.566340151,0.749387653,0.924209578,0.134699138,2.031903735,0.307316523,53858,59372.15758,"(14.218499660491943, 55207.38613415, 0.04779382993439022)","(14.250999927520752, 60479.598216575, 0.027500152587890625)",55207.38607,60479.72632,25,25,1.018075055,0.132213832,0.087448024,0.640170137,0.06367868,0.082026787,0.111294314,0.099134768
133344.70+335622.7,2.461106959,,,,0.30209764,,2.363567563,,,,,,,,,,2.461106959,,2.363567563,,,,55973,59371.16946,"(16.9950008392334, 55370.5767814, nan)","(15.9350004196167, 60305.20649047, 0.27300000190734863)",,,10,6,0.12781426,,0.122748684,,,,0.051248797,
134037.05+131819.2,9.635283273,1.67449388,-7.173889392,1.246733857,0.546680678,0.095006387,0.67725787,0.133944168,7.683740992,1.334899416,-8.689232814,1.509583915,0.520750464,0.090470188,1.444556036,0.347355533,8.295536618,0.725391063,1.060906953,0.186143027,,,53144,59378.16001,"(14.45550012588501, 55205.26752205, 0.04810405386897339)","(14.924999713897705, 60476.786150625, 0.09600019454956055)",55205.26752,60476.21065,25,25,0.807197232,0.076204224,0.056737375,0.360491702,0.059930546,0.067773037,0.08038406,0.075320425
134554.00+084537.3,5.313671555,1.929415269,-3.220322265,1.169311818,0.315982296,0.114734428,0.670321472,0.280553675,3.689042669,,,,0.247740558,,1.079696833,,4.074345496,,0.875009153,,2.363518351,0.268432808,52045,59377.17374,"(15.38700008392334, 55210.363245, 0.08800029754638672)","(15.286499977111816, 60482.50737844, 0.10950040817260742)",55210.36325,60321.79521,25,24,0.471389191,0.098121328,0.059465907,0.229453815,,0.067155785,0.038051757,0.041828104
135624.58+350813.1,2.704376283,2.119559387,-1.447094597,1.134162785,0.23269833,0.182377701,0.119953672,0.094538248,2.094994743,1.569111761,-1.732577453,1.29766801,0.15418142,0.115478991,0.190693911,0.144360067,1.994760769,0.787595677,0.155323791,0.086280515,,,55383,59338.32137,"(13.954999923706055, 55203.3446924, 0.05700000002980232)","(13.986000061035156, 60309.85286646, 0.022403496794925634)",55203.34469,60309.85287,24,24,1.939901685,0.160803814,0.086045101,0.808528279,0.088989626,0.073595134,0.036315835,0.033224381
135801.62+115331.8,11.53452452,1.193587414,-17.70042381,1.831631901,0.707663443,0.073228695,1.133044426,0.137866828,7.034383649,1.081664801,-17.06094944,2.623432188,0.656438969,0.100939466,1.948494324,0.373217314,13.33257036,0.895541789,1.540769375,0.198933673,2.466003713,0.161069692,51994,59370.21032,"(14.449999809265137, 55211.8182149, 0.05000019073486328)","(14.845999717712402, 60484.39400943, 0.06199932098388672)",55211.81821,60484.39401,25,25,0.624568134,0.039980028,0.061351765,0.3368955,0.03847611,0.093318619,0.081199869,0.090838129
