Object,W1 Z Score SDSS vs DESI,W1 Z Score SDSS vs DESI Unc,W1 Z Score DESI vs SDSS,W1 Z Score DESI vs SDSS Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score SDSS vs DESI,W2 Z Score SDSS vs DESI Unc,W2 Z Score DESI vs SDSS,W2 Z Score DESI vs SDSS Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,Median UV NFD On-Off,Median UV NFD On-Off Unc,SDSS mjd,DESI mjd,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux,W1 Mean Unc Counter,W2 Mean Unc Counter,W1 min mjd,W1 max mjd,W2 min mjd,W2 max mjd,Off spectrum 4000A flux,Redshift
075448.10+345828.5,0.562361545465504,1.5250523263299045,-0.4884039088383438,1.3244887090314472,0.0171148623273627,0.0464133097606361,0.0853481222131123,0.2319610314237757,0.2605750081968562,,,,0.0209629042289064,,0.0888149652696222,,0.4371134875002346,,0.0870815437413672,,3.3940887648472025,0.3412761177992607,55488,59226.33155371,55294.82789935,60392.37221862,55294.82789935,59140.17778014,22,12,0.2005300396021283,0.0360454447077063,0.0439258938429929,0.2360289638718857,,0.0476485017514395,0.0211824314003197,0.0102965359024191,8,8,3931.50365436,193.17210065000108,3931.50365436,193.17210065000108,0.5959792193629254,0.731
122319.70+312737.0,-0.4493187519817305,1.1344170248261531,0.8388566785137714,2.11790247635566,0.0212595457531487,0.053675014755278,0.1127649977103013,0.2869105435408269,,,,,,,,,0.644087715247751,1.2012923130496649,0.1127649977103013,0.2869105435408269,,,58488,59291.35192345,55354.3026495,60451.44138896,,,21,12,0.1885296517964336,0.0593856427281164,0.0675411042115412,,,,0.0414499348336618,,14,8,3133.6973504999987,3937.049273949997,,,,1.5214625597000122
140957.72-012850.5,21.500160217829464,1.4220945837084198,-21.2638185341429,1.4064621314443444,1.5072122113496902,0.0996922023158751,0.4172478054221168,0.0301361911408808,20.338235449024623,1.159176112419396,-34.69207610591953,1.977272119452536,1.3927143834894251,0.0793776455587876,0.8172722621551077,0.0614599129193441,24.448572576729127,0.7605007818112295,0.6172600337886123,0.034225395952907,,,55383,59338.32136563,55218.10643235,60491.48469058,55218.10643235,60491.48469058,25,25,3.612271153409399,0.1047968339041165,0.1587917772165421,1.7041008828770283,0.0836019146574795,0.0862999966546598,0.7339076314827024,0.5874330828324505,4,5,4120.214933279996,164.89356764999684,4120.214933279996,164.89356764999684,,0.135
141801.50+525200.7,0.3923920277917336,1.544402518204795,-0.3334012349665023,1.3122226507826669,0.0134199835278121,0.0528192595330209,0.0482138911511752,0.189931996630006,-1.032659487807715,1.2287488200903136,1.4462625651770329,1.720890033436627,0.0404770999090213,0.0481632032060008,0.1516749642101121,0.1812805512918615,0.801178828935746,0.7322223703185756,0.0999444276806436,0.1312790935569539,0.7355020679152721,0.396659238847031,56755,59314.25562991,55362.1466495,60459.19562801,55362.1466495,60459.48398511,24,24,0.2783426769213386,0.0461868448163665,0.0642979469036433,0.2668673773540458,0.0300137194457103,0.0828538853689519,0.0129366965286336,0.018397060157103,0,5,3952.1089804100047,1392.8533505000014,1392.8533505000014,3952.1089804100047,0.5054610776025524,1.157
141923.44-030458.7,-1.7059121531125243,,,,0.1642605252973032,,0.939081787285182,,,,,,,,,,1.7059121531125243,,0.939081787285182,,,,55333,59368.20461079,55220.25704575,59398.70625142,,,9,5,0.1749161015806394,,0.0962889706821077,,,,0.0720050928778039,,5,1,112.7429542500031,4147.947565040005,,,,2.689
144051.17+024415.8,2.415241071666116,1.1116007818854778,-4.975319323073193,2.289862040911267,0.1608128231716304,0.074013174946334,0.3326140429106727,0.1539755951778487,0.9972876924567882,1.1464940252090132,-1.7784663865763963,2.0445465252076698,0.0886506248964954,0.1019138334340582,0.2967920692269059,0.3471522098247201,2.541578618443124,0.8650774354166741,0.3147030560687893,0.1898836095457947,2.3976335849467114,0.2773457914934117,55620,59379.18866325,55222.90249505,60497.29779046,55222.90249505,60497.329752285,25,25,0.4834817609153639,0.024055173793073,0.0280183887943085,0.2986960707117802,0.0644428753382689,0.0649057654452995,0.2290145209103208,0.2359010072284036,3,5,4156.2861682,397.09750494999753,4156.2861682,397.09750494999753,1.833585819768064,0.39681107
152517.57+401357.6,8.796124258267865,1.9737051491399216,-5.169263492980793,1.1598974359380303,0.3419628240523378,0.0767308153943059,0.8673360412972216,0.2164320945994374,6.869963255645932,1.8856123690300108,-4.297477207469345,1.1795370479411458,0.2267149056095297,0.0622268874450634,0.909577110989708,0.312704462198217,6.283207053590983,0.7979550320718949,0.8884565761434648,0.1901492389225999,3.4125672443215422,0.4149220583849455,58175,59354.31774043,55218.46208765,60492.195935825,55218.46208765,60492.45169376,25,25,0.3942679743146438,0.0430467040683265,0.047088394758106,0.2492530901122193,0.051600456456122,0.1127982771526462,0.1112923955027826,0.062110150771946,0,4,4135.855652780003,2956.5379123500024,4135.855652780003,2956.5379123500024,1.2662047972249404,0.3842095999999999
153149.94+372755.4,-3.1051293133818985,1.2902959028941288,3.808144679651016,1.58242475010813,0.0789265783146228,0.0327969080675402,0.3708666574699644,0.1589518515167879,-0.1596804055198393,1.7583895546118848,0.1104021816872803,1.215741170328865,0.006066640473407,0.0668054242804341,0.0294070739041863,,1.7958391450600084,0.7390404262361487,0.2001368656870753,,1.3934935558191466,0.3880674542541006,58230,59351.33843032,55221.87016495,60495.45342876,55221.87016495,60334.525961305,25,22,0.2128165925000009,0.0223440460861862,0.0243198832971911,0.2062986781062706,,0.0964133125148062,0.0196633405798589,0.043485133643526,3,17,3008.12983505,4129.46826537,3008.12983505,4129.46826537,0.769096726297417,0.99551123380661
161903.04+540529.0,-2.778280831050033,1.9173338318242588,1.6983194086826825,1.1720360386607858,0.0921092044915316,0.0635659620943668,0.3239832738896333,,-2.1507881461541767,1.248122311012438,2.879749805558955,1.671145523504392,0.0719166634692494,0.0417339068796918,0.3487327079875347,,2.3767845478614618,0.7665007404820852,0.336357990938584,,3.82139877810537,0.5730987704674959,58248,59311.39483462,55220.3448454,60493.86005036,55220.3448454,60332.491482975005,25,24,0.2843023449504035,,0.0667937866011199,0.2062228802232685,,0.0462608966912302,0.045028508371102,0.0333958658826596,0,9,3027.6551545999973,4091.049989219995,3027.6551545999973,4091.049989219995,0.778678938308393,0.6030564904212952
164709.87+532202.2,-1.1122923300783327,1.177917933895545,1.7868509347057335,1.892275712302785,0.0732804512798165,0.0776040213820189,0.2660986106104419,0.284528458012934,2.6178474447991227,1.921741112712142,-1.595214134670775,1.1710340846128209,0.0733809494343358,0.0538683748352016,0.359987667378377,,1.7780512110634912,0.791857300985192,0.3130431389944095,,1.703838440232874,0.4028619948786975,57190,59383.31718659,55233.346628800005,60509.62512196,55233.346628800005,60348.0277466,24,23,0.275388327326129,0.0406924111074702,0.0415119357594453,0.2038429537565416,,0.1112595625522713,0.0240323811373905,0.0331178466275395,3,15,1956.6533711999944,4149.970557789995,4149.970557789995,1956.6533711999944,0.6408247659426162,1.1985069513320925
