Object,Median UV NFD On-Off,Median UV NFD On-Off Unc,SDSS mjd,DESI mjd,Off spectrum 4000A flux,Redshift
075448.10+345828.5,3.3940887648472025,0.3412761177992607,55488,59226.33155371,0.5959792193629254,0.731
085913.72+323050.8,0.3607699034749353,0.306874160524333,52989,59226.37565156,0.9079744819209328,1.1216270000000002
095035.55+321601.0,,,56325,59280.39813621,,1.725
113737.38+511839.9,0.9801664074650588,0.2685924502162234,56416,59307.3805169,1.063427615603482,1.068
115103.77+530140.6,2.0034666675530746,0.6645463076570901,57423,59307.38051703,0.59135850340724,0.5477126240730286
115210.24+520205.1,2.4841047739398854,0.7857188222540312,56416,59307.38051704,0.6302444814779895,0.617
115403.00+003154.0,1.5084540199181382,0.3080439179797698,51943,59312.22218401,2.818422922654787,0.448395
121033.30-011755.6,4.514540874047629,0.2608920852130953,52367,59314.19499713,3.2312714581308994,0.5432739999999999
122319.70+312737.0,,,58488,59291.35192345,,1.5214625597000122
125545.34+232348.0,1.912721210686036,0.4733358927847608,56312,59338.22263793,0.7007444009268301,0.5087944000000001
125610.42+260103.4,2.5960584125935013,0.9226435313834662,54505,59337.25565871,0.3605648423766427,1.1966
133044.43+072628.8,1.948194775882484,0.3882600139061121,53556,59370.16467325,3.0587510817852936,0.464448
134037.05+131819.2,2.0154692635619886,0.3093935888413412,53858,59372.15757969,3.866683057049128,0.34791
134554.00+084537.3,0.7278002799111424,0.4247850367032122,55973,59371.16945986,1.6625841736367422,0.6017174
135801.62+115331.8,,,53144,59378.16000655,,0.266923
140659.07+032601.9,2.3296967589417434,0.31075908056718,52045,59377.17374326,1.928677176245698,0.6004550000000001
140957.72-012850.5,,,55383,59338.32136563,,0.135
141535.46+022338.7,2.395476869531297,0.2076809064574218,51994,59370.21031819999,3.928942094425663,0.352634
141801.50+525200.7,0.7355020679152721,0.396659238847031,56755,59314.25562991,0.5054610776025524,1.157
141923.44-030458.7,,,55333,59368.20461079,,2.689
142641.03+521214.3,1.8360150420366463,0.4983717644486842,56448,59260.47124129,0.458298132495927,1.05
144003.98+061936.5,3.2645685673972205,0.2990201695097461,55684,59377.22102237,1.9058697965996168,0.5390951999999999
144051.17+024415.8,2.3976335849467114,0.2773457914934117,55620,59379.18866325,1.8335858197680637,0.39681107
145913.90+360051.4,7.217774239661747,0.6757353886464257,53121,59351.30769311,0.965717658020282,0.554473
152517.57+401357.6,3.4125672443215422,0.4149220583849455,58175,59354.31774043,1.2662047972249404,0.3842095999999999
152551.37+184552.0,0.45959760653915,0.1050443726724043,54328,59370.28410066,9.46414788732833,0.4362
153149.94+372755.4,1.3934935558191466,0.3880674542541006,58230,59351.33843032,0.769096726297417,0.99551123380661
153714.41+454347.7,6.417682411476813,0.617278259847482,52781,59385.20038910001,1.9223106278071005,0.469384
153938.92+373853.8,1.2032034986956242,0.5602029988065429,58258,59375.27554403,0.519622150011518,1.4197466373443604
154742.72+012541.0,6.010764323108941,0.2730313332033756,55359,59352.33037624,1.67080454731767,0.687
155426.13+200527.7,1.7012063407052902,0.3032477381641802,55332,59374.2967292,1.5826843229954115,0.527
160047.63+331310.7,2.8306499016197986,0.2723251429591773,53142,59358.30611962,5.116342764712051,0.361208
160139.10+412529.3,4.926359034686663,0.38968404887971,52824,59354.34563381,1.7250971575931793,0.46509
160310.99+432928.9,4.751454096545843,0.5137635839227994,52756,59321.47337727,1.6291956581063216,0.492672
160337.12+242513.9,5.345386267123915,0.5454478969256469,55327,59376.29986629,0.6924760002065942,0.706
160730.20+560305.5,4.801491260386916,0.4316772028599582,56430,59311.39483457,0.9052527377725158,0.71737385
161903.04+540529.0,3.82139877810537,0.5730987704674959,58248,59311.39483462,0.778678938308393,0.6030564904212952
162106.25+371950.7,1.3475423247206395,0.5870000367727322,58247,59350.3985472,0.3907537267085105,1.3883135318756104
162829.18+432948.5,,,52057,59316.45961607,,0.260259
164331.90+304835.5,,,52793,59386.27511551,,0.184137
164709.87+532202.2,1.703838440232874,0.4028619948786975,57190,59383.31718659,0.6408247659426162,1.1985069513320925
164725.15+351754.3,4.670002505808818,1.4186423199019604,55828,59312.45872119,0.254238414971137,0.687
164900.95+452016.8,3.8163254029748863,0.4937360905165082,58021,59354.40581205,1.1515064946453646,0.5802545547485352
213135.84+001517.0,,,55450,59382.45074191,,2.475481879631274
213400.68+013828.4,0.2982441132406445,0.2438411861390207,58040,59380.4539827,1.1898388752000202,0.9916038513183594
221044.76+245958.0,,,56213,59392.4133191,,0.120270245
221925.57+272806.4,2.069162204129084,0.414900087455899,57575,59392.42928187,3.5193782154693207,0.2281150817871093
224657.70-003242.5,0.6924615205219765,0.155530053179549,52590,59404.45298388,5.021497019555632,0.416776
