Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,W1 Gap,W2 Gap,SDSS Redshift,DESI Redshift,W1 2nd lowest Flux,W2 2nd lowest Flux,W1 median_abs_dev of Flux,W1 Median Unc,W1 median_abs_dev of Uncs,W2 median_abs_dev of Flux,W2 Median Unc,W2 median_abs_dev of Uncs
075448.10+345828.5,2.7132537167227735,1.3283863068837434,-3.102918498728193,1.5191629222443064,0.105429896994095,0.05161759500776871,0.38867260730122455,0.19642012134200326,1.7865472895275467,1.6248612090797407,-1.3949850764787999,1.2687361545380396,0.09333871638432226,0.08489137704173959,0.3931575861149784,0.3743509362558138,2.2494261453643283,0.7212112876630771,0.3909150967081015,0.2113761384023819,570.3055945949964,1616.811674769997,0.7311,0.7311,0.2712563093297335,0.23740789871729825,0.021209062931489137,0.03943567498102195,0.007736597051104698,0.013362561351727753,0.05224530967159886,
085913.72+323050.8,2.179846778005264,1.618466092878464,-1.712949436361456,1.271809839819667,0.08946739227389561,0.06642666001784783,0.27057325702622587,0.20538792474486464,1.6992662956184161,1.2816499283049445,-2.119737656673032,1.5987850890148847,0.12192820919123598,0.09196279651473144,0.3982986470379554,0.30959367739870236,1.927950041664542,0.726105754265512,0.33443595203209064,0.18576358948691613,1669.2212352650022,1460.1412736999991,1.1217,1.1217,0.3306586661860074,0.30612257937099385,0.019768241149619115,0.03385202063581833,0.0075280617017307,0.01919519169816164,0.05689580391141989,0.01171170178450829
095035.55+321601.0,1.507564307535624,1.058659028447219,-4.338266260826091,3.046466888261065,0.14369859407057403,0.10090966814985464,0.7139588732111403,0.5149485202482093,1.0150388773294685,1.1413840497067056,-1.8447400914374605,2.074360857744536,0.09643046101620162,0.10843347241962968,0.40993875682331393,0.4698802957122322,2.176402384282161,1.0002327840573972,0.5619488150172272,0.3485539666982844,157.85236882000027,161.7066268149938,1.7181,1.7181,0.20127012838185962,0.23523138373999541,0.026881922611024095,0.04925453782688434,,0.021701065763242045,0.08169157162391397,
113737.38+511839.9,1.5793391613000063,1.2630683554840312,-2.046879438274355,1.6369812826316428,0.12649368662460386,0.10116267402154372,0.5768851528158685,0.48917125505555775,1.5124436726395274,,,,0.15689210654742827,,0.751459874778753,,1.7128874240712963,,0.6641725137973107,,522.4701714699986,4906.672173179992,1.0671,1.0671,0.2192701372312461,0.20878307919450909,0.029667257006101205,0.043397448251089286,,0.06179664107877761,0.0736776425057018,
115103.77+530140.6,16.928447020561645,1.397261724922856,-17.346866291422845,1.4317977477153998,0.636764229066599,0.0525580570972688,2.7428310686533957,0.48922185284666164,9.545416569797677,,,,0.3421010122687275,,1.6302684539632832,,14.606909960594058,,2.1865497613083393,,1289.143416949999,2182.4494696399997,0.5475,0.5475,0.23215583210497212,0.20984336134153786,0.04461399844064706,0.04459375383098563,,0.06555533516600452,0.05953814280346645,
115210.24+520205.1,1.54001811545903,1.0198905548182335,-7.68313495509497,5.0882237640169095,0.14197801908873653,0.09402619307321874,0.5878165468979443,0.3918757838131876,1.825687792581742,,,,0.12334672292404816,,0.5445431610558081,,3.682946954378581,,0.5661798539768762,,2396.1380945400015,4017.8501043399956,0.6179,0.6179,0.24153457373391451,0.22651413468290135,0.042761857413656235,0.04247575491789959,0.011223658951428316,0.020650769385637813,0.05110174310105327,
115403.00+003154.0,4.4945180499087884,1.5346316735982242,-3.8609871644226534,1.3183155853605804,0.2691993467645796,0.09191682833830411,0.3378271148030568,0.1190765890180719,3.8476107847234604,1.43852006767788,-3.7207734724083594,1.3910989460249232,0.2097550410934565,0.07842187081592306,0.6062016083919719,0.24722737760654534,3.9809723678658155,0.7114047115987813,0.47201436159751436,0.13720478334444844,1095.3722083999965,3842.205063350004,0.4484,0.4484,0.7968553587580286,0.3460153160098978,0.06750159345153028,0.06643679192678872,0.020170054293859707,0.060419595011299815,0.05392091585103537,0.0063425816539554765
121033.30-011755.6,4.8503268947962965,1.2828670405290783,-6.03586513248864,1.5964310462982831,0.4609996010951014,0.12193017228930422,0.5892788495860742,0.16613790565382155,7.261903952204184,1.3301757214351473,-8.279108922231883,1.5164989451736435,0.4814599118398798,0.0881898589941179,0.728223654355768,0.1479723070271135,6.606801225430251,0.7186565778359106,0.6587512519709211,0.11124028872441456,3653.197534480001,3448.65091864,0.5434,0.5434,0.7823114666662825,0.6611429180583391,0.09516848228927477,0.06985874500000912,0.013158475134017428,0.10696178090930814,0.05634365159837691,0.016061106743086067
122319.70+312737.0,2.6605328869928315,,,,0.16020466586385498,,0.8130090141383209,,1.500933438021873,,,,0.08052532094896275,,0.366468763741216,,2.0807331625073524,,0.5897388889397684,,3634.7924455600005,2353.689377960007,1.5188,1.5188,0.1970515247406576,0.21973310938398605,0.0429251518556166,0.04855600854197635,,0.011867436338334869,0.06088589409073922,
125545.34+232348.0,2.3767607526200356,,,,0.11396505509663937,,0.5135609825439291,,1.9043615034877268,1.145679749712975,-3.406178074730404,2.049185113744399,0.2219431417770886,0.1335228435651503,1.1105709107600796,0.7599410534264395,2.562433443612722,,0.8120659466520044,,2922.3708301699953,721.907549800002,0.5096,0.5096,0.22191143597419025,0.1998459887853444,0.027189776634962956,0.04627979501390191,,0.04249805277795013,0.07493383591979375,
