Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,W1 Gap,W2 Gap,SDSS Redshift,DESI Redshift,W1 2nd lowest Flux,W2 2nd lowest Flux,W1 median_abs_dev of Flux,W1 Median Unc,W1 median_abs_dev of Uncs,W2 median_abs_dev of Flux,W2 Median Unc,W2 median_abs_dev of Uncs
075448.10+345828.5,4.5227551144607965,1.3878143695971077,-4.699924097837236,1.4421789448955977,0.105429896994095,0.03235132620064306,0.38867260730122455,0.12352010941678793,1.7865472895275467,1.6248612090797407,-1.3949850764787999,1.2687361545380396,0.09333871638432226,0.08489137704173959,0.3931575861149784,0.3743509362558138,3.101052894576095,0.7183215771924701,0.3909150967081015,0.1971013958004481,570.3055945949964,1616.811674769997,0.7311,0.7311,0.2712563093297335,0.23740789871729825,0.021209062931489137,0.028960920302390378,0.005913531782866929,0.013362561351727753,0.05224530967159886,
085913.72+323050.8,2.179846778005264,1.1681491355404217,-3.6102233656945537,1.9346677694489498,0.08946739227389561,0.04794431333354686,0.27057325702622587,0.14640755012704967,2.5061180018975113,1.5484766500881566,-2.119737656673032,1.309740508302294,0.12192820919123598,0.07533682962124712,0.3982986470379554,0.25722826876262955,2.6039814505675904,0.7591406290983164,0.33443595203209064,0.1479877976260409,1669.2212352650022,1460.1412736999991,1.1217,1.1217,0.3306586661860074,0.30612257937099385,0.019768241149619115,0.02707462623635988,0.003347484914138353,0.01919519169816164,0.038870706374352026,0.007613914737227445
095035.55+321601.0,1.507564307535624,1.058659028447219,-4.338266260826091,3.046466888261065,0.14369859407057403,0.10090966814985464,0.7139588732111403,0.5149485202482093,1.0150388773294685,1.1413840497067056,-1.8447400914374605,2.074360857744536,0.09643046101620162,0.10843347241962968,0.40993875682331393,0.4698802957122322,2.176402384282161,1.0002327840573972,0.5619488150172272,0.3485539666982844,157.85236882000027,161.7066268149938,1.7181,1.7181,0.20127012838185962,0.23523138373999541,0.026881922611024095,0.04925453782688434,,0.021701065763242045,0.08169157162391397,
113737.38+511839.9,2.033590565393836,1.409630316800524,-2.046879438274355,1.4188418062749848,0.12649368662460386,0.08768202340443795,0.5768851528158685,0.4316707655507728,1.5124436726395274,,,,0.15689210654742827,,0.751459874778753,,1.8643045587692395,,0.6641725137973107,,522.4701714699986,4906.672173179992,1.0671,1.0671,0.2192701372312461,0.20878307919450909,0.029667257006101205,0.04281888734502716,,0.06179664107877761,0.0736776425057018,
115103.77+530140.6,28.26592108217655,1.911836921993456,-17.346866291422845,1.173299089048194,0.636764229066599,0.04306915597036261,2.7428310686533957,0.4717012276614701,10.876772886571768,,,,0.3421010122687275,,1.6302684539632832,,18.829853420057052,,2.1865497613083393,,1289.143416949999,2182.4494696399997,0.5475,0.5475,0.23215583210497212,0.20984336134153786,0.04461399844064706,0.03220140139500195,,0.06555533516600452,0.035980491044902085,
115210.24+520205.1,4.007900234806428,1.1278819780516764,-7.68313495509497,2.1621469954600863,0.14197801908873653,0.03995469937574356,0.5878165468979443,0.17142448311821015,1.825687792581742,,,,0.12334672292404816,,0.5445431610558081,,4.50557432749438,,0.5661798539768762,,2396.1380945400015,4017.8501043399956,0.6179,0.6179,0.24153457373391451,0.22651413468290135,0.042761857413656235,0.023578720448376164,0.004809266091430214,0.020650769385637813,0.05110174310105327,
115403.00+003154.0,8.820463618002606,1.491831205405132,-7.967536519962987,1.3475731124184862,0.2691993467645796,0.04553048494621184,0.3378271148030568,0.05890581207387233,8.598555021788734,2.518041222363683,-3.7207734724083594,1.089608772504254,0.2097550410934565,0.061425651023168965,0.6062016083919719,0.20314728275886035,7.276832158040671,0.8503415678925291,0.47201436159751436,0.10575763942665173,1095.3722083999965,3842.205063350004,0.4484,0.4484,0.7968553587580286,0.3460153160098978,0.06750159345153028,0.03073546081209407,0.004397022979132619,0.060419595011299815,0.033479646142888404,0.005786283389000864
121033.30-011755.6,15.387202065170634,1.5580983725729367,-12.877918083976766,1.304009859868522,0.4609996010951014,0.04668052873945834,0.5892788495860742,0.06547981376976288,16.230420969889423,1.9154361107050342,-9.934911438111248,1.1724703974418487,0.4814599118398798,0.056819579892957696,0.728223654355768,0.10116909740007099,13.607613139287018,0.7571201432203079,0.6587512519709211,0.06025527420912604,3653.197534480001,3448.65091864,0.5434,0.5434,0.7823114666662825,0.6611429180583391,0.09516848228927477,0.031146486904287743,0.00259867853088931,0.10696178090930814,0.03581193968267035,0.002714835478749577
122319.70+312737.0,2.6605328869928315,,,,0.16020466586385498,,0.8130090141383209,,1.8439212959380114,,,,0.08052532094896275,,0.366468763741216,,2.2522270914654214,,0.5897388889397684,,3634.7924455600005,2353.689377960007,1.5188,1.5188,0.1970515247406576,0.21973310938398605,0.0429251518556166,0.04686649239091548,,0.011867436338334869,0.06088589409073922,
125545.34+232348.0,3.1835227849541887,,,,0.11396505509663937,,0.5135609825439291,,1.9043615034877268,1.145679749712975,-3.406178074730404,2.049185113744399,0.2219431417770886,0.1335228435651503,1.1105709107600796,0.7599410534264395,2.8313541210574393,,0.8120659466520044,,2922.3708301699953,721.907549800002,0.5096,0.5096,0.22191143597419025,0.1998459887853444,0.027189776634962956,0.03656450520025961,,0.04249805277795013,0.07493383591979375,
