Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux,W1 Mean Unc Counter,W2 Mean Unc Counter,W1 min mjd,W1 max mjd,W2 min mjd,W2 max mjd,W1 Max Flux,W2 Max Flux
075448.10+345828.5,4.303492625561861,1.2935915073833866,-5.244345346753862,1.576403445436521,0.18903476022453333,0.05682216322951987,0.9426755243234239,0.3301590538939866,2.388992088961638,,,,0.11383189373506375,,0.4822793434658748,,3.978943353759121,,0.7124774338946493,,55294.82789935,60392.37221862,55294.82789935,59140.17778014,22,12,0.20053003960212837,0.036045444707706334,0.04392589384299295,0.23602896387188577,,0.04764850175143951,0.021182431400319723,0.010296535902419163,8,8.0,4366.607949049998,2018.2972583400042,0.0,2018.3628374699983,0.3895647998266617,0.3498608576069495
085913.72+323050.8,1.8867561108519606,1.0844435843955005,-4.497149889011062,2.584809619617889,0.13846521355435837,0.07958512053429811,0.4468724286011982,0.26065733359902915,1.5774721600132746,1.1145378714297516,-3.205379207879471,2.264709710911859,0.16676987199095072,0.11782860126408964,0.5951443420917183,0.43476667589387613,2.7916893419389424,0.9430125727871876,0.5210083853464582,0.2534582352315497,55310.40790385,60405.42398546,55310.374796,60405.7452595,23,23,0.3098540090911017,0.030789548263157246,0.07338797672786374,0.2802175206855107,0.05202812558994474,0.10571969269463832,0.015971499736012695,0.01897618455709421,8,7.0,4937.496081990008,2382.4007607500025,191.38358580000204,1653.2931544400053,0.4483192226454601,0.4469873926764614
095035.55+321601.0,2.1251981682234935,,,,0.18333472636470333,,0.9142444829095339,,1.4531172361458478,,,,0.14527579016891567,,0.6935986830796347,,1.7891577021846707,,0.8039215829945843,,55320.66244095,60415.03144024999,55320.66244095,60050.65583387,16,10,0.2005314002893957,,0.086267120453034,0.20945222895158816,,0.09997527147516025,0.026714752458741844,0.022527009010831656,14,7.0,0.0,2903.655562,0.0,3112.754146129999,0.383866126654099,0.35472801912050383
113737.38+511839.9,1.741558107587298,,,,0.1612400392246029,,0.7995888449164067,,,,,,,,,,1.741558107587298,,0.7995888449164067,,55330.92084285,60428.16616928,,,21,8,0.20165368770428482,,0.09258378375211378,,,,0.027187802614629553,,15,5.0,190.57315325000673,5097.245326429998,,,0.3628937269288877,
115103.77+530140.6,9.833549385894278,1.2618807609474767,-12.776845782154568,1.6395764383124138,0.5538791544428022,0.07107600942990196,2.467374082572248,0.5720885550790937,4.391225675007836,,,,0.4426253001159137,,2.1564583127231876,,9.000540281018894,,2.311916197647718,,55331.8143086,60429.12948142,55331.8143086,60062.09384737,21,14,0.22448122413014115,0.04335022617369349,0.05632545612038248,0.20525567199903996,,0.100797666272327,0.043655215383169355,0.06555533516600452,10,3.0,4208.335970075001,1655.219043310004,190.63816100000258,2017.047816279999,0.7783603785729434,0.6478809721149537
115210.24+520205.1,5.33649105116082,1.4435750332985993,-5.125773352709335,1.3865737555596367,0.17489897296604837,0.04731194867616867,0.7421348161964201,0.22770169938484627,2.121967137393892,,,,0.14309881796853452,,0.6920540156137883,,4.194743847088016,,0.7170944159051043,,55332.7734806,60430.09241162,55332.7734806,60430.25279374,23,18,0.23567008197033304,0.03412148000527605,0.03277415276991863,0.20677405916302505,,0.06743686810545158,0.042761857413656235,0.0269307764511989,5,16.0,2182.341998579999,4001.9850874900003,0.0,4208.455095639998,0.4105690549363814,0.34987287713155957
115403.00+003154.0,4.541250240178873,1.514281073606751,-3.9936338964052163,1.331678261359718,0.28262667228785965,0.0942419373756215,0.35643738131839164,0.12303797463899706,4.225589020719186,1.2907398947066837,-5.177821223665984,1.5816068217413144,0.2658393648239804,0.08120275589493942,0.7782424522367876,0.2649405164574071,4.484573595242314,0.7173694905707474,0.5673399167775897,0.14605805392376014,55361.011116049995,60458.09619286,55361.011116049995,60458.192460295,24,24,0.7929209648058777,0.07076929924454517,0.062235432389809775,0.3415893903756053,0.05134193579510296,0.06291178898858818,0.06759763368103089,0.06124922525373741,1,6.0,3634.453931490003,1653.6352821950059,5097.1813442450075,2379.845625330003,1.0755476370937374,0.6074287551995857
121033.30-011755.6,17.029271933339654,1.9502324351136244,-10.170751389137154,1.1647784665261536,0.5269199529977434,0.06034411729798581,0.6873296416340179,0.09139752378216619,11.060121158665543,1.2986621891915509,-13.34849140987811,1.5673590576514522,0.5630925783628775,0.06611745296852428,0.8798468160738921,0.11847486153640581,12.902158972755114,0.7625308733212903,0.7835882288539551,0.07481610817461398,55365.1453223,60302.922236165,55364.7485383,60302.922236165,22,22,0.7666189861171625,0.05180737713838124,0.030942012968044007,0.6399893345929746,0.042183986270252195,0.050911971965306876,0.09516848228927477,0.10718196859058338,1,5.0,4002.0609079299975,0.3967839999968419,4366.364861729999,0.0,1.293538939114906,1.203081912955852
122319.70+312737.0,3.045959191798392,1.3315719526833187,-3.464262366229376,1.514437427798838,0.2057274471973571,0.08993584002134948,1.0912206394965018,0.5879745381530193,2.2547281810313544,,,,0.15771921660319624,,0.7733737585274929,,2.921649913019708,,0.9322971990119974,,55354.3026495,60451.44138896,55354.3026495,59720.18908258,21,12,0.18852965179643363,0.05938564272811648,0.06754110421154123,0.20393660227558577,,0.06995043479301019,0.04144993483366183,0.014933902792895665,14,8.0,4365.886433079999,1654.6535118699976,0.0,4365.886433079999,0.39425709899379074,0.361655818878782
125545.34+232348.0,3.800983550123001,,,,0.1469245148789114,,0.7266319913052989,,3.1252249919974453,1.2585223961169953,-4.089968862063255,1.6470229905072882,0.2560031922293272,0.10309201792608601,1.2845471467393925,0.6560093310850905,3.6720591347279004,,1.0055895690223458,,55365.67944,60302.72365239,55365.67944,59730.82497981,22,15,0.2021993480014289,,0.03865434115708206,0.19929450848039978,0.0625929440695502,0.08191512383423832,0.027189776634962956,0.034793217329839754,12,12.0,188.38804450000316,2746.479890909999,2905.886933089998,3637.0815577999965,0.3491238628803403,0.455297700709727
125610.42+260103.4,3.1675680935790678,1.2500468384099268,-4.222984588559106,1.6665556596188087,0.26166835000724326,0.10326461309594312,0.7522661943381755,0.3257170669689229,2.8560376536597167,1.110921459935474,-5.902284002468171,2.295828961699314,0.18153594242530158,0.07061257540896078,0.5575287856040345,0.22316661730215062,4.037218584566515,0.8232937650205975,0.6548974899711051,0.19741767068383365,55364.12541325,60461.04712159,55364.12541325,60460.85515971,24,24,0.34784010231571333,0.061962894848386185,0.08260859507256291,0.3256081965859807,0.030756897219684498,0.06356216704380002,0.03995132027652609,0.023632590637307715,0,4.0,188.81742324999504,1653.4398317999949,188.81742324999504,2543.8543339899916,0.6095084523229566,0.5071441390112823
133044.43+072628.8,9.784355082526272,1.7264342741567686,-6.952428410344876,1.2267452065058906,0.8620221260929903,0.1521024667457361,0.846717657473895,0.1815339899729397,7.741770010334714,1.2390942807666918,-10.580823772628358,1.693493633234038,0.6413463147079395,0.10264946510740436,1.001837288700065,0.1863042985450074,8.764844318958556,0.745350354996785,0.92427747308698,0.13006140969926727,55207.3860705,60479.598216575,55207.3860705,60479.72631897,25,25,1.0180750554615274,0.12398863752560807,0.08810208938885122,0.6401701373484701,0.06061402481412126,0.08284233629412752,0.11126844956053161,0.101253168994353,5,4.0,4380.335906280001,362.8196221499966,4173.80554044,362.8196221499966,1.8800971815545178,1.2815164520564095
134037.05+131819.2,9.582233024979995,1.3662184967506554,-10.293644554873264,1.467650343420226,0.5555563307184171,0.07921027729504736,0.6959023127331093,0.1098093583409133,7.6336110958996874,1.305015925732406,-9.10399074349467,1.5563869784200333,0.5190569718736341,0.08873619655858238,1.432698569655132,0.3329031244888446,9.153369854811904,0.7135280961714024,1.0643004411941206,0.17527306230114076,55205.26752205,60476.786150625,55205.26752205,60476.210647165004,25,25,0.7983251679916211,0.05397080963470835,0.05797775208243561,0.36229321566125205,0.057014224475626846,0.06799625568460516,0.08512440885209238,0.07535930115963063,3,5.0,4382.5838301999975,177.04723194999679,4907.229033110001,177.04723194999679,1.3538814987100383,0.8813501875348861
134554.00+084537.3,5.115540638618869,1.7483164086173706,-3.567102095080166,1.2191132012443184,0.3159822963517635,0.10799191572711966,0.6703214722969687,0.2614398551766304,3.940748571242456,,,,0.247740557590383,,1.0796968332425705,,4.207797101647164,,0.8750091527697696,,55210.363245,60482.443645845,55210.363245,60321.79520795,25,24,0.47138919072515656,0.08858235282572202,0.06176909122103558,0.22945381514768626,,0.06286636995779568,0.046670367086221076,0.04193243041886313,0,12.0,362.5533507,3809.5293929100008,0.0,3284.8226089399977,0.7873714870769201,0.47719437273806925
