Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,W1 Gap,W2 Gap,SDSS Redshift,DESI Redshift
075448.10+345828.5,6.297596011501375,1.4462520123043954,-6.027456789758868,1.38421415018464,0.18903476022453333,0.043412105487699,0.6968861321295448,0.1701011602313138,2.277955300045057,,,,0.11386995725112697,,0.45218269884954393,,4.867669367101766,,0.5745344154895443,,2348.3106907099937,2018.3628374699983,0.7311,0.7311
085913.72+323050.8,5.050981721498243,1.4202022853917453,-5.008650851602609,1.4082999659055115,0.13886886951681243,0.03904624818144152,0.41997650059682295,0.12220919924980607,3.6644808095488703,1.1085353401992346,-7.660134999313921,2.3172533296693407,0.16676987199095072,0.050449246807552674,0.5447813497900793,0.19400457487842912,5.346062095490911,0.8138948380985592,0.48237892519345116,0.1146438653559784,2555.0953212400054,1461.9095686400033,1.1217,1.1217
095035.55+321601.0,2.1252139411768525,,,,0.18333608705197066,,0.910895663086856,,1.4549961410137968,,,,0.14546363419316488,,0.6183853186611694,,1.7901050410953245,,0.7646404908740128,,2903.655562,3112.754146129999,1.7181,1.7181
113737.38+511839.9,2.3170014492099713,,,,0.14412245031652107,,0.6572826201341181,,,,,,,,,,2.3170014492099713,,0.6378339693976438,,4539.754769309991,,1.0671,1.0671
115103.77+530140.6,21.001010329806505,1.6587299281601469,-15.868993373760294,1.2533860907383203,0.687907112019649,0.05433320095470473,2.9631265593560596,0.5237219681497822,12.988205997377216,,,,0.4426253001159137,,2.109312857391297,,16.619403233648004,,2.5362197083736784,,2191.2881537950016,1826.4096552799965,0.5475,0.5475
115210.24+520205.1,9.072439302475242,1.750230855651787,-6.315998747669402,1.2184656765257205,0.17733534643703755,0.03421106328560629,0.7342027424711389,0.15237224148735967,2.4493455368880515,,,,0.39121814549771683,,1.7271246496179398,,5.945927862344232,,1.2306636960445394,,1819.643088910001,4574.79336992,0.6179,0.6179
115403.00+003154.0,9.076513107708578,1.3158510504098484,-10.612618797669025,1.538545190955775,0.2825940390319226,0.0409685590366093,0.3546365547097168,0.05356658492197213,5.095076027507167,1.1664847978396442,-8.483704916485296,1.9422895283624158,0.2658464640419266,0.06086383347179499,0.7683083717436427,0.21589223456499307,8.316978212342516,0.7595953152442069,0.5614724632266798,0.1112191934488702,1980.8186492949972,2717.3357189150047,0.4484,0.4484
121033.30-011755.6,7.667779780727486,1.1643895914647242,-12.8547831534554,1.9520612396877493,0.4887742412544199,0.07422274183241066,0.6247821514585068,0.09909007583540404,9.06253284286037,1.2216446212533323,-12.914681508845538,1.740920719852679,0.5593346194495856,0.07539924446946292,0.8460116627918414,0.12981332359161377,10.6249443214722,0.7782017226293348,0.735396907125174,0.08165528475084627,4002.0609716300023,4366.3649254300035,0.5434,0.5434
122319.70+312737.0,3.045959191798392,1.3315719526833187,-3.464262366229376,1.514437427798838,0.2057274471973571,0.08993584002134948,1.0440286999459558,,2.175237084821921,,,,0.11425995867379249,,0.5199942739358498,,2.895152880949896,,0.7820114869409028,,2711.232921210001,4207.21685474,1.5188,1.5188
125545.34+232348.0,3.0603753010388184,1.8997133057208164,-1.8947202032625454,1.1761384884834591,0.12904447348609221,0.0801037386584754,0.5815133993414424,,3.3248109132535,1.2887343842217691,-4.089968862063255,1.585318275372077,0.2560031922293272,0.0992297381428002,1.281002404828358,0.6488357120276594,3.09246881990453,0.7568967373149815,0.9312579020849001,,1254.4589807099983,731.1946247099986,0.5096,0.5096
125610.42+260103.4,10.04969641261437,1.3001015834712149,-12.096097828053265,1.5648389060126549,0.28697144803672475,0.037124706925004074,0.784257926711754,0.11518127857935435,4.652218061173654,1.1632517810501748,-7.8284821201597055,1.9574524773883564,0.1819433575052517,0.045493554232674774,0.5445539650936334,0.14010699626881992,8.656623605500249,0.7633708075235071,0.6644059459026936,0.09068723358147765,1464.6554527999979,2355.0699549899946,1.1957,1.1957
133044.43+072628.8,23.166376560915307,1.4700549873222561,-21.49960436744673,1.3642876149713974,0.8620189367730844,0.054700623286399415,0.7829553473999906,0.053669336634627245,18.621365882570874,1.3460540232013385,-20.66667347464266,1.493900026032382,0.6412613911191398,0.04635387548275998,0.9592674517683355,0.09193144490373971,20.98850507139389,0.7100150123092224,0.8711113995841631,0.05322543625206437,4017.5162841300044,3810.9859182900036,0.4634,0.4634
134037.05+131819.2,21.29297606406594,1.3188314786113462,-24.764021681764905,1.5338190036310515,0.5555527414911686,0.034409489838475776,0.6794314651035124,0.046783061691028575,22.498431306336133,1.6362856088789353,-17.371205514433314,1.263388242723422,0.5207504642019187,0.037873595664896544,1.4103742952542562,0.17715828889298696,21.48165864165007,0.7230792509535187,1.0449028801788842,0.0916156566650559,4205.536598250001,4730.181801160004,0.3478,0.3478
