Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 min mjd,W1 max mjd,W2 min mjd,W2 max mjd,W1 Max Flux,W2 Max Flux
085913.72+323050.8,1.8867561108519606,1.0844435843955005,-4.497149889011062,2.584809619617889,0.13846521355435837,0.07958512053429811,0.4468724286011982,0.26065733359902915,0.29401788610077667,1.2950659012856987,-0.3572865425877849,1.5737464969566644,0.018334675955132218,0.08075907882854413,0.05029068692910204,0.221629374406719,1.7588026071378962,0.8664270159238041,0.24858155776515012,0.17107149467318422,55310.40790385,60405.42398546,55310.374796,60405.7452595,23,23,0.3098540090911017,0.030789548263157246,0.07338797672786374,0.36457398128165897,0.05131644708008393,0.0623590496424693,4937.496081990008,2382.4007607500025,4937.496081990008,2382.4007607500025,0.4483192226454601,0.3829086572367912
115103.77+530140.6,9.833549385894278,1.2618807609474767,-12.776845782154568,1.6395764383124138,0.5538791544428022,0.07107600942990196,2.467374082572248,0.5720885550790937,3.1535620646904965,2.140718586573853,-1.6660867532873895,1.1309823007897084,0.1694707714010094,0.11504109409521168,0.5248067438834791,0.3927382287621119,6.857510996506683,0.796176448075462,1.4960904132278636,0.34696132031671995,55331.8143086,60429.12948142,55331.8143086,60062.09384737,21,14,0.22448122413014115,0.04335022617369349,0.05632545612038248,0.3229203385363439,0.10171785536774913,0.05373947552785582,4208.335970075001,1655.219043310004,4208.335970075001,1655.219043310004,0.7783603785729434,0.4923911099373533
115210.24+520205.1,5.33649105116082,1.4435750332985993,-5.125773352709335,1.3865737555596367,0.17489897296604837,0.04731194867616867,0.7421348161964201,0.22770169938484627,1.0799587308436969,2.493772924187919,-0.47273475326282377,1.0916094238976142,0.035946484541853035,0.08300536614040918,0.15239167681723267,0.3553057615609443,3.003739471994169,0.844726663932062,0.44726324650682636,0.21100370144925748,55332.7734806,60430.09241162,55332.7734806,60430.25279374,23,18,0.23567008197033304,0.03412148000527605,0.03277415276991863,0.2358822036256258,0.07603943711298937,0.03328505387772599,2182.341998579999,4001.9850874900003,2182.341998579999,4001.9850874900003,0.4105690549363814,0.27182868816747885
115403.00+003154.0,4.541250240178873,1.514281073606751,-3.9936338964052163,1.331678261359718,0.28262667228785965,0.0942419373756215,0.35643738131839164,0.12303797463899706,0.9909906337742215,1.1299158210235536,-1.8838976698170145,2.1479978818857566,0.06723322239797835,0.07665852642476007,0.18350472045991895,0.20999204802602398,2.852443110043831,0.7888686053791961,0.2699710508891553,0.12169121110153194,55361.011116049995,60458.09619286,55361.011116049995,60458.192460295,24,24,0.7929209648058777,0.07076929924454517,0.062235432389809775,0.3663841574727415,0.03568836220520874,0.06784445796618516,3634.453931490003,1653.6352821950059,3634.453931490003,1653.6352821950059,1.0755476370937374,0.43361737987071985
121033.30-011755.6,17.029271933339654,1.9502324351136244,-10.170751389137154,1.1647784665261536,0.5269199529977434,0.06034411729798581,0.6873296416340179,0.09139752378216619,10.47609667866003,1.2845492808313708,-12.993330522012046,1.5932053597456606,0.5333587404097839,0.06539893697374186,0.7963868688940965,0.10917088737205922,12.66736263078722,0.7643823323548125,0.7418582552640571,0.07118951819459532,55365.1453223,60302.922236165,55364.7485383,60302.922236165,22,22,0.7666189861171625,0.05180737713838124,0.030942012968044007,0.6697231725460682,0.041048654885382854,0.050911971965306876,4002.0609079299975,0.3967839999968419,4002.0609079299975,0.3967839999968419,1.293538939114906,1.203081912955852
125610.42+260103.4,3.1675680935790678,1.2500468384099268,-4.222984588559106,1.6665556596188087,0.26166835000724326,0.10326461309594312,0.7522661943381755,0.3257170669689229,2.477906932769745,1.1741519268628067,-4.026946913409383,1.9081618503196718,0.12385639232485812,0.05868913790880513,0.38038474959629087,0.18379112931418723,3.473851632079325,0.7648422737400328,0.5663254719672333,0.18699651529468544,55364.12541325,60461.04712159,55364.12541325,60460.85515971,24,24,0.34784010231571333,0.061962894848386185,0.08260859507256291,0.3256081965859807,0.030756897219684498,0.04998427934757599,188.81742324999504,1653.4398317999949,188.81742324999504,1653.4398317999949,0.6095084523229566,0.44946458891083885
133044.43+072628.8,9.784355082526272,1.7264342741567686,-6.952428410344876,1.2267452065058906,0.8620221260929903,0.1521024667457361,0.846717657473895,0.1815339899729397,7.399908764009269,1.335441406643917,-8.360524848476336,1.5088011785001345,0.6130257303739174,0.11063108611029807,0.9170295270980312,0.19366347721448104,8.124304276339188,0.7308113578196355,0.8818735922859631,0.13272163719821573,55207.3860705,60479.598216575,55207.3860705,60479.72631897,25,25,1.0180750554615274,0.12398863752560807,0.08810208938885122,0.6684907216824921,0.07332383331001502,0.08284233629412752,4380.335906280001,362.8196221499966,4380.335906280001,362.8196221499966,1.8800971815545178,1.2815164520564095
134037.05+131819.2,9.582233024979995,1.3662184967506554,-10.293644554873264,1.467650343420226,0.5555563307184171,0.07921027729504736,0.6959023127331093,0.1098093583409133,7.20077765977711,1.1345627187847962,-13.435770120738788,2.116955223086943,0.4896259188821971,0.07714601671671177,1.2499249039796145,0.22870561037708534,10.12810634009229,0.7821957272166828,0.9729136083563619,0.126850651749605,55205.26752205,60476.786150625,55205.26752205,60476.210647165004,25,25,0.7983251679916211,0.05397080963470835,0.05797775208243561,0.39172426865268906,0.03644196904846078,0.06799625568460516,4382.5838301999975,177.04723194999679,4382.5838301999975,177.04723194999679,1.3538814987100383,0.8813501875348861
134554.00+084537.3,5.115540638618869,1.7483164086173706,-3.567102095080166,1.2191132012443184,0.3159822963517635,0.10799191572711966,0.6703214722969687,0.2614398551766304,3.4771064309714497,,,,0.18969159830300963,,0.7701103265458372,,4.053249721556829,,0.720215899421403,,55210.363245,60482.443645845,55210.363245,60321.79520795,25,24,0.47138919072515656,0.08858235282572202,0.06176909122103558,0.24631743240456228,,0.05455444119092229,362.5533507,3809.5293929100008,362.5533507,3809.5293929100008,0.7873714870769201,0.4360090307075719
135801.62+115331.8,11.506034850166358,1.174258873601788,-18.692724631155897,1.9077030493795315,0.707639534636813,0.07221879767265812,1.132962775847483,0.13447919756978702,5.896708838425725,1.2317761738765418,-8.198793933550133,1.712663673685267,0.5769491504735582,0.12052014718118126,1.3856135763642778,0.37230909977464044,11.073565563324529,0.7692814922273068,1.2592881761058803,0.1979259459709723,55211.8182149,60484.39400943,55211.8182149,60484.39400943,25,25,0.6245920428475524,0.03785641465329043,0.061501598409167135,0.41638531861633427,0.07037000260643644,0.09784257053932977,4176.694173700002,0.0,4176.694173700002,0.0,1.3322315774843654,0.9933344690898924
140659.07+032601.9,12.993338037929355,1.5401764674637735,-11.092283552209175,1.3148333436471262,0.622379301808806,0.0737742642948445,0.6734037690507213,0.08968251154756171,7.886127237293317,1.8986650238136633,-4.886139310322006,1.1763875386283416,0.4862516774011548,0.11707001737004294,0.8229352366682272,0.24179671885329862,9.214472034438463,0.7537301732959902,0.7481695028594743,0.12894631259336156,55216.087493650004,60489.05814039,55216.087493650004,60488.93029321,25,25,0.9242290144680314,0.0561092131191373,0.04789987761358894,0.5908747805839684,0.09951653985262854,0.0616591214888953,5272.970646739996,0.0,5272.970646739996,0.0,1.5466083162768374,1.0771264579851232
140957.72-012850.5,13.472772386360363,1.198145355878466,-20.414409401161105,1.8154711677431175,2.1393654712641155,0.19025563042368795,0.5922494132936009,0.05540099128706764,14.861285043241969,1.3717087115775937,-15.827937253975918,1.4609314978084835,1.5614032565003235,0.1441187920825916,0.9040648939263093,0.09813140608212237,16.144101021184838,0.7393998193394126,0.7481571536099552,0.05634501463138542,55218.10643235,60491.48469058,55218.10643235,60491.48469058,25,25,3.6122711534093987,0.10479683390411654,0.15879177721654214,1.7270920118568327,0.09864856244032083,0.10506515768704383,4177.985256860004,2921.7443632549985,4177.985256860004,2921.7443632549985,5.751636624673514,3.288495268357156
141535.46+022338.7,24.144504115560327,1.2457380502772488,-32.5014350790466,1.6769147203354966,2.6126968193915365,0.13480234782112643,1.3769220772671578,0.09192276675763081,17.307015855161936,1.286954123740106,-21.364229274239708,1.5886495508589586,2.0961667451011525,0.15587149507638576,1.699536351578645,0.1850680285598102,23.82929608100214,0.7307515216047481,1.5382292144229015,0.1033198555982737,55218.13877615,60491.35824353,55218.13877615,60491.35824353,25,25,1.8974906877643207,0.08038712176976825,0.10821082954889683,1.2333756457483773,0.09811572035639227,0.1211165900952218,4381.080689369999,0.0,4381.080689369999,0.0,4.510187507155857,3.3295423908495296
141801.50+525200.7,2.1512305522143857,1.2312559845830564,-2.994785817773847,1.71406451850682,0.13831970782377595,0.07916723192151448,0.4969403519204709,0.29613582967281266,0.4734270202359256,1.4816766813290472,-0.43301469010873994,1.3551988830027435,0.02507801978600349,0.07848626196348683,0.08143241031560416,0.2553173515615468,1.5131145200832246,0.7282658457622871,0.2891863811180375,0.19550152149306124,55362.1466495,60459.19562801,55362.1466495,60459.48398511,24,24,0.2783426769213386,0.04618684481636651,0.06429794690364335,0.30796116299161064,0.05791493997514455,0.05297124733925457,3477.847372330005,0.0,3477.847372330005,0.0,0.4166623847451146,0.33303918277761413
144003.98+061936.5,10.709539850834295,1.4211605923434307,-10.605597698082757,1.4073674235022577,0.7576998120505005,0.10054709433928755,0.8627027512596571,0.13427786719158988,6.714560680657876,1.2095602502875493,-9.867570195348566,1.77754305052261,0.4726451014936186,0.08514223855428653,0.8121422663965919,0.16084591767644912,9.474317106230874,0.7341268533733722,0.8374225088281245,0.10476396667115714,55221.84316925,60495.73401811,55221.84316925,60495.73401811,25,25,0.8782860735568088,0.07144338618345619,0.07074998763756168,0.5819732835611497,0.04789883346524526,0.07039106860038236,1464.2303706050006,4178.433665519995,1464.2303706050006,4178.433665519995,1.6359858856073093,1.0546183850547683
144051.17+024415.8,33.08684682732085,1.3179936457575554,-38.53807693763422,1.5351399542121487,0.9270401383856102,0.03692805839526338,1.9174252543270058,0.12220847912421438,10.575912125281471,1.4091796941379435,-10.65187839882096,1.4193017648249036,0.6864376717736189,0.09146388669799636,2.2981141671461116,0.5827472861197946,23.213178572264376,0.7112474446035625,2.1077697107365587,0.2977118203270738,55222.90249505,60497.29779046,55222.90249505,60497.329752285,25,25,0.4834817609153639,0.02405517379307301,0.028018388794308558,0.2986960707117802,0.06444287533826894,0.06490576544529958,4910.157464479998,1464.5221022699989,4910.157464479998,1464.5221022699989,1.410521899300974,0.9851337424853991
145913.90+360051.4,11.396995907982681,2.0602314334103253,-6.327219755376919,1.1437695627311728,0.2893606414481522,0.05230763386391169,0.5086975542955626,0.10064187910538656,4.091370730254223,2.2355491120593527,-2.046278914957909,1.1180988751600331,0.14007036124820643,0.07653527200523422,0.32692699719769475,0.18611445185197958,5.965466327142933,0.8587995727651517,0.4178122757466287,0.10579151314971594,55214.8239133,60487.46705354,55214.8239133,60487.65869685,25,25,0.5688264844301343,0.04573266816001631,0.025389202890340454,0.42844537908720043,0.06845125570337396,0.034235558320940274,2718.529170099995,4177.28811768,2718.529170099995,4177.28811768,0.8581871258782865,0.5685157403354069
