Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,Mean UV Flux Change DESI - SDSS,Mean UV Flux Change DESI - SDSS Unc,SDSS mjd,DESI mjd,W1 Max mjd,W1 Min mjd,W2 Max mjd,W2 Min mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux
075448.10+345828.5,2.6169087914529623,1.2509391478670893,-3.481949752261335,1.6644474848477382,0.11830849049692821,0.056554023881550015,0.43615018868783206,0.2155283197882732,2.277955300045057,,,,0.11386995725112697,,0.48251842371649095,,2.792271281253118,,0.45933430620216154,,3.531577828858329,0.571919407489033,55488,59226.33155371,57313.12515769,58408.48534654,57313.19073682,55294.82789935,21,12,0.2712563093297335,0.03397765588664608,0.0452092525667434,0.23599090035582254,,0.049987792670415726,0.02121633711111487,0.009768088699614152
085913.72+323050.8,2.0444811696722724,1.1005005233172251,-4.449769923871398,2.395216058970453,0.13886886951681243,0.07475014484981596,0.4487714208769197,0.24576746972827576,1.3825431446156073,1.107994755065482,-2.8976277904308994,2.3222106351133505,0.16676987199095072,0.13365235232517117,0.5951443420917183,0.49237385369061953,2.693605507147544,0.9208853071249428,0.521957881484319,0.2751516222806939,0.36687981494641,0.20555189177591943,52989,59226.37565156,57692.77555675,60247.870877990004,56963.66795044,55501.7583818,23,23,0.3094423197570299,0.03120810106873873,0.06792377038086045,0.2802175206855107,0.05755393171672707,0.12062543772354985,0.019768241149619115,0.01919519169816164
095035.55+321601.0,2.1252139411768525,,,,0.18333608705197066,,0.9142574719265392,,1.4549961410137968,,,,0.14546363419316488,,0.6951189245301963,,1.7901050410953245,,0.8046881982283678,,,,56325,59280.39813621,58224.31800295,55320.66244095,58433.41658708,55320.66244095,16,10,0.20053003960212837,,0.086267120453034,0.20926438492733895,,0.09997527147516025,0.026881922611024095,0.021701065763242045
113737.38+511839.9,1.7416911132223765,,,,0.16125235338955882,,0.7996987451491822,,,,,,,,,,1.7416911132223765,,0.7996987451491822,,4.750875204311481,0.8697656393884543,56416,59307.3805169,60428.16616928,55521.493996100005,,,21,8,0.2016413735393289,,0.09258378375211378,,,,0.029667257006101205,
115103.77+530140.6,7.871196875292118,1.1162558005799827,-15.868993373760294,2.2504653591411836,0.687907112019649,0.09755572325506842,3.064433434454611,0.7342011628728565,4.636024907291233,,,,0.4426253001159137,,2.1564583127231876,,9.458738385447882,,2.6104458735888993,,1.9937976460937086,0.29037843952669884,57423,59307.38051703,57348.86212488,59540.150278675,57348.86212488,55522.4524696,23,14,0.2244810098614782,0.043349133484239626,0.08739549053575403,0.20525567199903996,,0.09547517732697725,0.04461399844064706,0.06555533516600452
115210.24+520205.1,5.210736372572126,1.4145233817448064,-5.208454534138523,1.4139039464890364,0.17733534643703755,0.04814002782128526,0.7603537000334833,0.23436139879006634,2.1178711147709417,,,,0.14308714920697488,,0.6919987570672811,,4.179020673827197,,0.7261762285503822,,2.772756903399081,0.3916650455443689,56416,59307.38051704,59334.75856809,57515.11547918,59541.22857624,55332.7734806,23,18,0.2332274393209743,0.03404759420951128,0.034032684395718375,0.20677370839997464,,0.06756178324970945,0.042761857413656235,0.02690446802817542
115403.00+003154.0,4.528654184065416,1.5171595651156922,-3.969186488417914,1.3297304236256116,0.2825940390319226,0.09467277295549081,0.35643738131839314,0.12362684061957366,4.440937476736021,1.3392308038297889,-4.985290622244336,1.503388598089523,0.2658464640419266,0.0801699586178028,0.778279410038923,0.2642866840883574,4.481017192865922,0.7125514265795904,0.5673583956786581,0.14588612606070248,1.5915425925623012,0.2362821968513935,51943,59312.22218401,57014.646398245,58995.46504754,57740.85674138,60458.192460295,24,24,0.7928294108397433,0.07119696689901872,0.06240132885974421,0.34158229115765915,0.05332617176934907,0.059862690126706565,0.06750159345153028,0.060419595011299815
121033.30-011755.6,7.667779780727486,1.2722091673839078,-9.74976401265612,1.6176441566445219,0.4887742412544199,0.08109558285279692,0.6375712708734304,0.11370330389822135,9.06253284286037,1.2216446212533323,-12.914681508845538,1.740920719852679,0.5593346194495856,0.07539924446946292,0.8741306934470275,0.13185402046545178,9.84868953627238,0.7398694697610261,0.755850982160229,0.08705447149669432,4.59582791641243,0.5175676477618989,52367,59314.19499713,55364.7484746,59366.80944623,55364.7484746,59731.11340003,22,22,0.7666189861171625,0.050131904794818063,0.06374390700198841,0.639875276823787,0.043309981672136906,0.061719458472389396,0.09516848228927477,0.10696178090930814
122319.70+312737.0,3.045959191798392,1.3315719526833187,-3.464262366229376,1.514437427798838,0.2057274471973571,0.08993584002134948,1.0912206394965018,0.5879745381530193,2.2547281810313544,,,,0.15771921660319624,,0.7733737585274929,,2.921649913019708,,0.9322971990119974,,,,58488,59291.35192345,57008.95616137,59720.18908258,59720.18908258,55354.3026495,21,12,0.18852965179643363,0.05938564272811648,0.06754110421154123,0.20393660227558577,,0.06995043479301019,0.04150242404712032,0.01358592518177354
125545.34+232348.0,3.0603753010388184,1.8997133057208164,-1.8947202032625454,1.1761384884834591,0.12904447348609221,0.0801037386584754,0.5863541962801577,0.40670108082797807,3.3248109132535,1.2887343842217691,-4.089968862063255,1.585318275372077,0.2560031922293272,0.0992297381428002,1.2845471467393925,0.6408385968516176,3.09246881990453,0.7568967373149815,0.9354506715097751,0.37949962989487734,1.9307796478536274,0.3157946511535198,56312,59338.22263793,58112.15933091,59366.61831162,59002.7609978,58271.56637309,22,15,0.2200793893942481,0.06810740354374684,0.04216622498629144,0.19929450848039978,0.0625929440695502,0.07699781999897697,0.027189776634962956,0.04249805277795013
