Object,W1 Before SDSS vs Before DESI,W1 After SDSS vs Before DESI,W1 Before SDSS vs After DESI,W1 After SDSS vs After DESI,W1 Before DESI vs Before SDSS,W1 After DESI vs Before SDSS,W1 Before DESI vs After SDSS,W1 After DESI vs After SDSS,W2 Before SDSS vs Before DESI,W2 After SDSS vs Before DESI,W2 Before SDSS vs After DESI,W2 After SDSS vs After DESI,W2 Before DESI vs Before SDSS,W2 After DESI vs Before SDSS,W2 Before DESI vs After SDSS,W2 After DESI vs After SDSS
115103.77+530140.6,10.341016072693003,7.476602329584105,9.10180552031362,6.373898061776932,-18.771676536590434,-17.348962811275396,-13.623024772024912,-12.19496318629157,5.2788486650676925,3.9782199723641862,6.128133778974833,4.702909568686296,-10.267465303964874,-10.877332622143227,-8.238724209353451,-8.888079674995415
115210.24+520205.1,-1.1506331786554849,-2.829527038693692,-4.825295418351557,-7.526841386946603,1.9278922294492473,5.024358807844729,3.377307642332487,5.58316442047439,-0.9254109012133466,0.09101741684929456,-1.6524169081108928,0.03868217668539913,,,-0.06614785360416282,-0.016897009832619783
134554.00+084537.3,-9.36087015773256,-5.102998164315582,-8.443739801180126,-4.6359591834661,11.3081364111899,11.405920528292643,5.1480318761612045,5.229691865071085,-3.5040772650223655,-2.7118673806499416,-3.426537071527426,-2.9012455887016833,,,1.4218234694728376,2.294043359412743
140957.72-012850.5,36.312258445044854,25.283933728608606,43.12967241953722,30.349801995362974,-36.91866788297708,-37.840077348894624,-19.407201068458953,-20.102830855250705,34.418384615089366,25.833687981151204,42.21480450804245,32.32050439905507,-41.98844229136806,-44.68316586955246,-23.521630232648118,-25.53283343131537
141801.50+525200.7,2.9435100222071093,0.09168844811260302,2.788032994842611,-0.30456468420993266,-3.9932249608216797,-3.4878282574360524,-0.10901216420472411,0.33391721341166886,-0.6117040765185501,-1.269353771658424,-0.36732710655525497,-1.3219508740541106,2.033411322930178,0.8411999165767766,3.2243870913963386,2.3133545167419207
142641.03+521214.3,-2.792394033370182,-1.6674620261095057,-3.1368453803288494,-1.9432114026410994,,,1.9781565646708723,2.1726004265770427,-1.2869192802346021,-0.08640078027044934,-1.4409905288458549,-0.5585564271269825,,,0.11307609484607799,0.9945045265691296
144003.98+061936.5,-18.669178841351,-22.250180790646567,-21.701960606973994,-25.5270043365895,23.30261484804962,25.359843243478725,30.67774309532123,32.95018574279711,-13.943725129107028,-17.956415170976022,-11.31952813967435,-14.462785706772323,14.282896787629518,14.80203588494091,15.3447865121376,15.77788579553386
144051.17+024415.8,5.0067993983376455,27.164322115116047,6.625123636727525,30.717321622853518,-6.389756623527835,-7.776118901916983,-25.475787507292466,-26.494569719775978,-0.4786897889177418,14.745178002069613,2.3575467922036286,17.130339336047157,0.663471431039047,-3.3673696203862375,-14.752913048017907,-17.662661008998228
152517.57+401357.6,20.423313178116672,14.529636101992152,17.31671683814214,12.811416758745171,-18.441082239029075,-20.45447686685875,-13.078546636988344,-15.085667133119392,6.334354519115089,7.144838889738985,5.700110759710919,6.384152599173141,-8.881003669385057,-9.469018304328529,-8.75337792472203,-9.267198736684852
153149.94+372755.4,-5.0766148754461184,-2.9154682770450724,-3.426557525887836,-0.5174586991678906,3.2627031357815746,1.6360144004543165,3.591743415764387,0.47358553491554417,-0.9831321546573234,0.02466383006199048,-0.7273306321002382,0.459770384282743,0.9802080448499249,0.615634837297026,-0.015538408149171514,-0.2459075967976941
153938.92+373853.8,-2.9856901901349464,-1.9901488565511571,-1.1787288093727488,-0.18029695549723124,2.583505009268807,1.0169962062618225,2.567133350062624,0.2318953971134983,-0.5600623569803094,-2.084593182539188,0.9010510002064739,-1.4990319673994998,0.9982330061456158,-1.0201284744008083,3.124899550005576,1.4273668228477918
160730.20+560305.5,-6.888311755748693,-2.4970702007448073,-16.089835447815243,-9.982618430643015,11.673891866733465,19.606426657726367,3.648329515030369,10.487011658164732,-3.379415833567732,-2.4537071591680544,-6.62130647259231,-5.567824932494108,6.961492367089396,11.985380058064322,3.1382171269528607,6.257390132368195
161903.04+540529.0,-1.7928018467170974,-3.7111798372941487,-6.009457651202435,-8.898373460766159,2.1910173415487124,4.876947727005595,6.158766758815576,9.805995363540967,-0.8230552506695048,-1.4590914391609926,-1.2762726051685997,-2.653687976225625,1.3529076984046757,0.9687228118220786,2.47263777600497,2.0765612641942273
162106.25+371950.7,-0.020758625243205275,-0.03606707717357271,0.3553920031605365,0.32997089849541067,0.05173672322477476,-0.5333899612624559,0.07360908563692678,-0.40553932064953646,-0.8119626037990526,0.13015474242322772,-0.11765693044879585,2.5360749893263437,1.6673046237305813,0.08577177401031677,-0.20730791221846986,-1.4340553820316682
164709.87+532202.2,-3.616043718275235,-2.336706997143481,-6.963679939906491,-5.02703824208709,3.1500997219352365,4.007421458226125,2.6087666060945813,3.7074793768772123,-1.5740545714436875,0.9562370584858609,-0.7916390966900896,2.8013129906222707,1.9026341139596654,0.6738789366982185,-0.6938732741479685,-1.4315132687028482
164900.95+452016.8,-3.739454807211991,-3.4146482639353692,-6.498229530364599,-6.2447733723496635,4.858363460902203,10.819288025516071,3.625437018312808,8.49675302279176,-1.0448695783223267,-0.005764572944631372,-0.9408431031656243,-0.21000025679356704,1.2961017687657623,1.6593181387121685,0.0031714220078377145,0.16426391098066437
213400.68+013828.4,2.056374341210752,-0.07654959364082847,1.621425008355197,-1.2149134817128182,-1.629416379660211,-0.9661489314091672,0.09027634096981349,1.0774415492533804,0.8681605083983366,2.7358605391919086,0.7163622704237146,2.451875503085176,-0.7063199657947257,-0.6272105534657434,-2.443642380172884,-2.35679226572781
