ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
231.3233148,40.2326975,0.2743,0.307,-0.1106,15.068,0.098,11.0,0.9255,14.384,0.186,5.8,0.8173,1,0,0000,AB,10,56678.98500965,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.315638,91.633899
231.3230266,40.2326724,0.2699,0.3036,-0.043,15.154,0.101,10.7,1.233,14.483,0.194,5.6,0.8928,1,0,0000,AB,10,56679.2485995,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.486812,258.222984
231.3231466,40.2327908,0.3122,0.341,-0.1201,15.13,0.109,10.0,0.8401,14.25,0.166,6.6,1.023,1,0,0000,AB,10,56679.31443329,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.35832,335.821091
231.323255,40.2327239,0.2826,0.3432,0.0426,15.095,0.101,10.8,0.7617,14.489,0.254,4.3,0.6893,1,0,0000,AB,10,56679.38026708,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.173923,60.351304
231.3232825,40.2326897,0.3145,0.3601,-0.1077,15.343,0.124,8.7,0.6519,14.112,0.167,6.5,0.6363,1,0,0000,BB,10,56679.44622824,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.229759,99.287725
231.3233231,40.2327984,0.2763,0.33,-0.1007,15.012,0.1,10.9,1.491,14.274,0.167,6.5,0.3894,1,0,0000,AB,10,56679.51206204,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.489839,43.683149
231.323459,40.2326159,0.3055,0.4121,-0.0441,15.305,0.123,8.8,0.7516,14.271,0.187,5.8,0.8986,1,0,0000,BB,10,56679.57789582,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.77353,113.041523
231.3233318,40.2326894,0.3938,0.3478,-0.0734,15.165,0.139,7.8,1.775,14.507,0.294,3.7,1.25,1,0,0000,BB,10,56679.64385698,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.36423,96.01372
231.3233466,40.2327108,0.2991,0.3517,-0.1258,15.175,0.117,9.3,0.3875,14.01,0.168,6.5,0.7684,1,0,0000,BB,10,56679.70969082,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.404781,84.488044
231.3233076,40.232676,0.3464,0.4207,0.1619,15.405,0.153,7.1,1.288,13.967,0.157,6.9,0.637,1,0,0000,BB,10,56679.77552456,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.30808,106.286583
231.3232511,40.2327596,0.2624,0.3032,0.0295,15.055,0.099,11.0,0.5735,14.725,0.228,4.8,0.9398,1,0,0000,AB,10,56679.77565192,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.256437,33.206702
231.3233133,40.2326844,0.3747,0.3585,-0.0973,15.327,0.138,7.9,0.6808,14.218,0.192,5.7,0.826,1,0,0000,BB,10,56679.84148572,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.316415,100.223606
231.3231175,40.2327188,0.2532,0.3133,-0.0462,14.961,0.094,11.5,0.2433,14.143,0.178,6.1,0.3298,1,0,0000,AB,10,56679.90731951,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.236626,286.620095
231.3231367,40.2326711,0.2649,0.3013,0.0697,15.18,0.099,10.9,0.5553,14.552,0.256,4.2,0.3338,1,0,0000,AB,10,56679.97328066,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.202717,239.119142
231.3233152,40.2325569,0.2888,0.3622,0.1052,15.48,0.134,8.1,1.863,14.117,0.155,7.0,0.8472,1,0,0000,BB,10,56680.03911446,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.604677,148.425752
231.3233422,40.2326008,0.2965,0.3944,0.1402,15.218,0.15,7.2,0.5402,14.206,0.177,6.1,0.6567,1,0,0000,BB,10,56680.23674324,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.529407,132.420548
231.3232057,40.2326882,0.2757,0.317,0.0641,15.144,0.113,9.6,0.7735,15.097,0.401,2.7,0.4402,1,0,0000,BC,10,56680.36853824,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.045277,159.757318
231.3233287,40.2327438,0.2606,0.3288,-0.0758,15.136,0.104,10.5,0.6071,14.069,0.145,7.5,0.7603,1,0,0000,AB,10,56681.75193936,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.38726,65.973243
231.3233573,40.2326451,0.3139,0.3411,-0.0909,15.271,0.116,9.4,0.5788,14.258,0.183,5.9,0.7297,1,0,0000,BB,5,56681.88373432,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.475354,114.568302
231.3233852,40.2327958,0.3664,0.3958,0.1667,15.308,0.128,8.5,1.287,14.691,0.264,4.1,0.2848,1,0,0000,BB,10,56682.01540194,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.614832,55.879377
