ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
182.6357352,39.4058367,0.0204,0.0246,-0.0043,7.609,0.014,80.3,22.05,6.561,0.012,89.2,8.345,1,0,0000,AA,10,56808.6053428,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.083949,235.23645
182.6356754,39.4058592,0.0261,0.0226,-0.0084,7.532,0.017,65.1,8.163,6.41,0.014,78.1,1.357,1,0,0000,AA,10,56808.73700999,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.237642,278.011337
182.6356671,39.4058482,0.0229,0.0221,-0.0067,7.509,0.015,71.1,23.76,6.48,0.013,85.8,8.802,1,0,0000,AA,10,56808.86854976,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.258492,268.563564
182.6357106,39.4058491,0.026,0.0242,-0.0062,7.506,0.017,63.8,9.128,6.445,0.016,69.9,2.498,1,0,0000,AA,10,56809.00021698,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.137455,268.649299
182.6357235,39.4058471,0.0253,0.0259,-0.0099,7.544,0.016,67.3,8.977,6.474,0.014,78.8,5.06,1,0,0000,AA,10,56809.06592321,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.102078,264.12903
182.6357175,39.405838,0.0236,0.0241,-0.0089,7.567,0.015,72.5,7.371,6.494,0.012,88.3,2.376,1,0,0000,AA,10,56809.13175681,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.125867,249.926418
182.6356671,39.4058307,0.0275,0.0259,-0.0028,7.51,0.019,56.8,6.358,6.547,0.015,72.5,2.578,1,0,0000,AA,10,56809.1975903,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.267596,254.950624
182.6356437,39.4058951,0.0225,0.0237,-0.0075,7.588,0.017,64.3,12.44,6.539,0.012,91.1,6.704,1,0,0000,AA,10,56809.26329653,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.361953,296.651393
182.6356519,39.4058401,0.0225,0.0221,0.0033,7.626,0.019,56.4,12.46,6.505,0.011,98.8,17.01,1,0,0000,AA,5,56809.26342384,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.302791,263.240492
182.6356837,39.4058775,0.0236,0.0248,-0.0086,7.446,0.021,52.6,11.6,6.502,0.012,92.1,4.482,1,0,0000,AA,10,56809.32913007,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.234198,295.007218
