ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
137.3814153,-1.2092466,0.2538,0.2635,-0.1039,14.64,0.083,13.2,0.7051,14.423,0.254,4.3,0.6691,1,0,0000,AB,10,56783.4584412,1376001601351042152,14.332,0.028,13.635,0.037,11.271,0.168,8.319,,1308977770,16.559,0.125,15.294,,15.257,0.1636,0.161356,274.350657
137.3814249,-1.2093659,0.2938,0.3268,0.0265,14.879,0.097,11.2,0.5871,14.778,0.453,2.4,0.9247,1,0,g000,AC,10,56783.59010862,1376001601351042152,14.332,0.028,13.635,0.037,11.271,0.168,8.319,,1308977770,16.559,0.125,15.294,,15.257,0.1636,0.435951,196.845253
137.381154,-1.2092608,0.2756,0.3318,-0.0373,14.749,0.099,11.0,0.7688,14.501,0.365,3.0,0.3857,1,0,0000,AC,10,56783.72164885,1376001601351042152,14.332,0.028,13.635,0.037,11.271,0.168,8.319,,1308977770,16.559,0.125,15.294,,15.257,0.1636,1.102042,267.978182
137.381433,-1.2093521,0.3037,0.3956,-0.1044,15.006,0.12,9.1,0.8145,13.868,0.21,5.2,0.7501,1,0,0000,BB,10,56783.78748259,1376001601351042152,14.332,0.028,13.635,0.037,11.271,0.168,8.319,,1308977770,16.559,0.125,15.294,,15.257,0.1636,0.380194,194.809443
137.381398,-1.209372,0.321,0.3322,-0.1121,14.861,0.102,10.6,1.033,13.948,0.239,4.6,0.5845,1,0,0000,AB,10,56783.85331637,1376001601351042152,14.332,0.028,13.635,0.037,11.271,0.168,8.319,,1308977770,16.559,0.125,15.294,,15.257,0.1636,0.492637,206.934373
137.3815503,-1.2093354,0.313,0.3425,-0.0614,15.009,0.11,9.8,0.5682,13.968,,1.9,0.6791,1,0,g000,BU,10,56783.91915015,1376001601351042152,14.332,0.028,13.635,0.037,11.271,0.168,8.319,,1308977770,16.559,0.125,15.294,,15.257,0.1636,0.447384,133.408896
137.381485,-1.2093306,0.3019,0.3372,-0.1282,14.881,0.1,10.8,0.9681,14.501,0.477,2.3,0.5216,1,0,0000,AC,10,56783.98498392,1376001601351042152,14.332,0.028,13.635,0.037,11.271,0.168,8.319,,1308977770,16.559,0.125,15.294,,15.257,0.1636,0.303788,162.771096
137.3814683,-1.2093986,0.3321,0.4094,0.0555,14.894,0.118,9.2,0.9472,14.706,0.477,2.3,0.55,1,0,0000,BC,10,56784.05069034,1376001601351042152,14.332,0.028,13.635,0.037,11.271,0.168,8.319,,1308977770,16.559,0.125,15.294,,15.257,0.1636,0.535792,176.803797
137.3813178,-1.2093205,0.2267,0.2518,0.0359,14.667,0.082,13.3,0.67,14.258,0.321,3.4,0.8914,1,0,0000,AB,10,56784.05081765,1376001601351042152,14.332,0.028,13.635,0.037,11.271,0.168,8.319,,1308977770,16.559,0.125,15.294,,15.257,0.1636,0.571282,243.623598
137.3813088,-1.2091067,0.3073,0.31,-0.1267,14.92,0.108,10.0,1.066,14.144,0.193,5.6,0.4745,1,0,0000,AB,10,56786.48576524,1376001601351042152,14.332,0.028,13.635,0.037,11.271,0.168,8.319,,1308977770,16.559,0.125,15.294,,15.257,0.1636,0.749854,313.469771
