ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
153.9007347,22.1802074,0.0921,0.1086,0.0147,13.726,0.041,26.2,1.279,12.679,0.062,17.5,0.4217,1,0,0000,AA,10,56793.46629326,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.174058,151.768349
153.9007396,22.1802633,0.1123,0.1265,-0.0388,13.757,0.044,24.5,0.8185,12.744,0.067,16.2,1.243,1,0,0000,AA,10,56793.59783312,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.109663,64.115892
153.9006999,22.1802991,0.1125,0.1202,0.02,13.737,0.052,20.8,0.5433,13.103,0.099,11.0,0.7283,1,0,0000,AA,10,56793.72950037,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.179929,349.21545
153.9007257,22.1802928,0.1041,0.1143,-0.0233,13.813,0.049,22.2,0.8205,12.65,0.051,21.4,0.52,1,0,0000,AA,5,56793.86104034,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.162726,18.761481
153.9007353,22.1802081,0.0915,0.1063,-0.0283,13.679,0.039,27.6,1.589,12.648,0.055,19.8,0.909,1,0,0000,AA,10,56793.92687395,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.172805,150.788842
153.9007231,22.1802946,0.1272,0.1234,-0.0542,13.807,0.051,21.1,1.031,12.686,0.054,20.3,1.35,1,0,0000,AA,5,56793.99270762,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.1664,15.215616
153.9006961,22.1802751,0.1059,0.1091,-0.0224,13.767,0.043,25.1,0.8274,12.643,0.06,18.1,0.7086,1,0,0000,AA,10,56794.05854123,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.101568,332.851017
153.900734,22.1803615,0.0987,0.1205,-0.0279,13.625,0.047,23.2,1.12,12.719,0.06,18.0,0.9982,1,0,0000,AA,10,56794.12424749,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.409295,11.272376
153.9007318,22.1802453,0.0965,0.1086,-0.0264,13.746,0.042,26.1,0.8469,12.653,0.053,20.5,0.7963,1,0,0000,AA,10,56794.1900811,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.074594,103.106405
153.9007614,22.1802488,0.0978,0.1029,-0.0297,13.741,0.041,26.7,1.151,12.619,0.052,21.1,0.6631,1,0,0000,AA,10,56794.32174838,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.171406,91.444224
153.9007432,22.180317,0.1035,0.1168,-0.0436,13.716,0.041,26.4,1.114,12.68,0.055,19.7,0.8863,1,0,0000,AA,10,56794.45328825,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.265381,24.648207
153.9007417,22.1802657,0.0817,0.095,-0.0326,13.322,0.036,30.1,1.198,12.206,0.048,22.5,0.6399,1,0,0000,AA,10,56984.04892794,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.11983,61.860056
153.9007221,22.180361,0.0858,0.0937,-0.03,13.329,0.035,31.4,3.005,12.296,0.048,22.4,0.929,1,0,0000,AA,10,56984.18034089,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.401629,5.764046
153.9007578,22.1802201,0.0774,0.0986,-0.0273,13.26,0.043,25.3,0.7976,12.219,0.044,24.5,0.9975,1,0,0000,AA,10,56984.31188119,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.19229,124.039418
153.9007508,22.1802508,0.0802,0.0909,-0.0295,13.279,0.039,27.7,1.281,12.29,0.043,25.4,1.173,1,0,0000,AA,10,56984.44329414,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.136039,88.786949
153.9007255,22.1802289,0.0804,0.086,-0.0301,13.275,0.033,32.6,1.827,12.274,0.044,24.4,1.106,1,0,0000,AA,10,56984.50900064,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.091848,145.774988
