obsmjd,mag_autocorr,magerr_auto,oid,ra,dec,fid,transient_flag,astrometricrms,nobs,ngoodobs,nbestobs,referencemag,referencemagerr,medianmag,bestmedianmag,meanmag,bestmeanmag,magrms,bestmagrms,sid,s_ra,s_dec,ptffield,ccdid,hmjd,nid,mag_auto,limitmag,absphotzp,fwhmsex,fwhm_image,qaflags,flags,photcalflag,goodflag,pid,dist,angle
54963.1844072,19.682,0.064,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,12076862001157,231.323228,40.232679,4413,4,54963.1875072,82,19.671,21.468,27.8,2.15,3.096,0,131072,0,1,12076862,0.193221,67.062251
54963.2309372,19.569,0.067,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,12076890001150,231.323198,40.232674,4413,4,54963.2340372,82,19.571,21.602,27.824,1.65,2.061,0,131072,0,1,12076890,0.193221,67.062251
54963.3074172,19.483,0.071,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,12076814000971,231.323222,40.232659,4413,4,54963.3105172,82,19.487,21.348,27.83,1.65,2.175,0,131072,0,1,12076814,0.193221,67.062251
54963.3521672,19.634,0.076,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,12076806000940,231.323197,40.232653,4413,4,54963.3552672,82,19.631,21.263,27.821,1.75,2.345,0,2228224,0,1,12076806,0.193221,67.062251
54963.3978272,19.743,0.088,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,12076834000861,231.323243,40.232701,4413,4,54963.4009172,82,19.743,21.033,27.801,1.95,2.659,0,131072,0,1,12076834,0.193221,67.062251
54963.4441072,19.434,0.083,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,12076946000743,231.323201,40.232665,4413,4,54963.4472072,82,19.428,20.819,27.768,2.15,3.436,0,131072,0,1,12076946,0.193221,67.062251
54970.2077872,19.768,0.172,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,12127880000643,231.323173,40.232708,4413,4,54970.2107272,88,20.563,21.452,27.752,1.65,2.168,0,131072,0,1,12127880,0.193221,67.062251
55003.3366872,19.711,0.057,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,12019826001352,231.32321,40.232676,4413,4,55003.3383972,115,19.715,21.802,27.774,1.95,2.251,0,131072,0,1,12019826,0.193221,67.062251
55003.4290172,19.772,0.085,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,12019745000928,231.323274,40.232684,4413,4,55003.4307172,115,19.756,20.995,27.687,2.85,3.231,0,131072,0,1,12019745,0.193221,67.062251
55019.2112172,19.574,0.093,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,11911259000808,231.323225,40.232667,4413,4,55019.2121172,133,19.598,21.062,27.792,1.55,2.704,0,131072,0,1,11911259,0.193221,67.062251
