Object Name,R.A.,Dec.,Redshift,g(mag),r(mag),z(mag),MJD_1,MJD_2,N_sigma,R,F_sigma dim,transition,Line
075448.10+345828.5,118.7004,34.9746,0.7311,21.49,21.5,20.92,55488,59226,5.22,2.85,6.7,turn-off,Hbeta
085913.72+323050.8,134.8072,32.5141,1.1217,20.48,20.18,20.35,52989,59226,7.89,3.32,3.41,turn-on,C iii]
095035.55+321601.0,147.6482,32.267,1.7181,20.59,20.54,20.33,56325,59280,4.4,2.24,4.46,turn-on,C iii]
,,,,,,,,,4.32,2.13,3.18,turn-on,Mg ii
103818.29+332437.2,159.5762,33.4103,1.2028,21.1,20.65,20.63,58497,59224,3.93,2.4,3.19,turn-on,C iii]
113737.38+511839.9,174.4058,51.3111,1.0671,20.7,20.48,20.39,56416,59307,4.34,2.68,1.51,turn-off,C iii]
115103.77+530140.6,177.7657,53.028,0.5475,22.22,21.83,20.78,57423,59307,3.76,49.49,0.09,turn-off,Mg ii
,,,,,,,,,8.05,7.27,2.06,turn-off,Hbeta
115210.24+520205.1,178.0427,52.0347,0.6179,21.33,21.36,20.97,56416,59307,4.1,4.53,2.52,turn-on,Hbeta
115403.00+003154.0,178.5125,0.5317,0.4484,21.1,20.21,19.44,51943,59312,4.92,6.35,1.2,turn-off,Hbeta
,,,,,,,,,5.79,8.28,1.41,turn-off,Mg ii
121033.30-011755.6,182.6388,-1.2988,0.5434,20.03,20.04,19.49,52367,59314,14.6,7.46,5.96,turn-off,Hbeta
122319.70+312737.0,185.8321,31.4603,1.5188,21.89,21.54,21.24,58488,59291,3.6,2.72,2.58,turn-on,Mg ii
125545.34+232348.0,193.939,23.3967,0.5096,21.18,21.2,20.51,56312,59338,3.92,2.45,4.39,turn-off,Hbeta
125610.42+260103.4,194.0434,26.0176,1.1957,20.57,19.89,19.94,54505,59337,3.81,4.8,2.34,turn-on,C iii]
133044.43+072628.8,202.6851,7.4413,0.4634,19.48,19.44,19.11,53556,59370,6.15,2.77,4.84,turn-off,Mg ii
,,,,,,,,,7.89,3.18,4.9,turn-off,Hbeta
133344.70+335622.7,203.4363,33.9396,1.1452,21.5,21.12,21.3,58492,59292,4.38,3.09,2.82,turn-on,C iii]
134037.05+131819.2,205.1544,13.3054,0.3478,20.78,19.82,19.08,53858,59372,7.61,2.76,3.95,turn-off,Hbeta
134554.00+084537.3,206.475,8.7603,0.602,20.76,20.37,20.21,55973,59371,4.27,3.68,5.28,turn-on,Mg ii
135613.60+001958.6,209.0567,0.333,2.3286,21.62,21.45,21.21,55631,59376,4.19,2.58,4.89,turn-off,C iv
135624.58+350813.1,209.1025,35.137,0.7983,22.18,21.66,20.74,55268,59350,5.03,3.68,2.86,turn-off,Mg ii
135801.62+115331.8,209.5068,11.8922,0.2667,20.6,19.68,19.14,53144,59378,10.86,6.76,4.45,turn-off,Hbeta
140659.07+032601.9,211.7461,3.4339,0.5995,19.94,19.86,19.57,52045,59377,6.32,2.24,7.09,turn-off,Hbeta
140957.72-012850.5,212.4905,-1.4807,0.1352,19.05,18.21,17.49,55383,59338,10.18,2.47,6.23,turn-off,Hbeta
141535.46+022338.7,213.8977,2.3941,0.3519,20.5,19.49,18.6,51994,59370,16.25,9.36,14.27,turn-off,Halpha
,,,,,,,,,16.23,15.84,3.64,turn-off,Hbeta
141801.50+525200.7,214.5063,52.8669,1.1555,21.98,21.5,21.02,56755,59314,3.27,5.63,1.82,turn-off,C iii]
